등급,어휘,품사,日本語品詞,어종,원어,日本の漢字,外来語,의미,定義の日本語訳,日本語訳,tags
1등급,가다,동사,動詞・補助動詞,고유어,,,,"[Ⅰ][1]「1」한곳에서 다른 곳으로 장소를 이동하다.
[Ⅰ][1]「2」수레, 배, 자동차, 비행기 따위가 운행하거나 다니다.
[Ⅰ][1]「3」지금 있는 곳에서 어떠한 목적을 가지고 다른 곳으로 옮기다.
[Ⅰ][1]「4」직업이나 학업, 복무 따위로 해서 다른 곳으로 옮기다.
[Ⅰ][2]「1」직책이나 자리를 옮기다.
[Ⅰ][2]「2」물건이나 권리 따위가 누구에게 옮겨지다.
[Ⅰ][2]「3」관심이나 눈길 따위가 쏠리다.
[Ⅰ][2]「4」말이나 소식 따위가 알려지거나 전하여지다.
[Ⅰ][2]「5」그러한 상태가 생기거나 일어나다.
[Ⅰ][3]일정한 목적을 가진 모임에 참석하기 위하여 이동하다.
[Ⅰ][4]「1」어떤 상태나 상황을 향하여 나아가다.
[Ⅰ][4]「2」한쪽으로 흘러가다.
[Ⅰ][4]「3」동력원으로 하여 작동하다.
[Ⅰ][4]「4」물체가 한쪽으로 기울어지다.
[Ⅰ][5]「1」금, 줄, 주름살, 흠집 따위가 생기다.
[Ⅰ][5]「2」건강에 해가 되다.
[Ⅰ][5]「3」일정한 시간이 되거나 일정한 곳에 이르다.
[Ⅰ][5]「4」일정한 대상에 미치어 작용하다.
[Ⅰ][5]「5」어떤 일을 하는 데 수고가 많이 들다.
[Ⅰ][6]「1」어떤 대상이 다른 곳으로 이동하여 사라지다.
[Ⅰ][6]「2」지나거나 흐르다.
[Ⅰ][6]「3」기계 따위가 제대로 작동하다.
[Ⅰ][6]「4」외부의 충격이나 영향으로 정신을 제대로 차리지 못하는 혼미한 상태가 되다.
[Ⅰ][6]「5」전기 따위가 꺼지거나 통하지 않다.
[Ⅰ][6]「6」(완곡하게) 사람이 죽다.
[Ⅰ][7]「1」어떤 일에 대하여 납득이나 이해, 짐작 따위가 되다.
[Ⅰ][7]「2」가치나 값, 순위 따위를 나타내는 말과 결합하여 어떤 대상을 기준으로 해서 어느 정도까지 이르다.
[Ⅰ][7]「3」원래의 상태를 잃고 상하거나 변질되다.
[Ⅰ][7]「4」때나 얼룩이 잘 빠지다.
[Ⅰ][8]어떤 경로를 통하여 움직이다.
[Ⅰ][9]「1」어떤 일을 하기 위하여 다른 곳으로 이동하다.
[Ⅰ][9]「2」노름이나 내기에서 얼마의 액수를 판돈으로 걸다.
[Ⅰ][10]어떤 현상이나 상태가 유지되다.
[Ⅱ]말하는 이, 또는 말하는 이가 정하는 어떤 기준점에서 멀어지면서 앞말이 뜻하는 행동이나 상태가 계속 진행됨을 나타내는 말.",一箇所から他の場所へ場所を移動する。乗り物などが運行する、または行く。今いる場所から何らかの目的を持って他の場所へ移る。職業や学業、服務などで他の場所へ移る。職務や役職を移る。物や権利などが誰かに移る。関心や視線などが注がれる。言葉や知らせなどが知らされたり伝わったりする。そのような状態が生じたり起こったりする。一定の目的を持った集まりに参加するために移動する。ある状態や状況に向かって進む。一方へ流れていく。動力源として作動する。物体が一方へ傾く。傷、しわ、傷などが発生する。健康に害になる。一定の時間が経過するか、一定の場所に達する。一定の対象に達して作用する。あることをするのに手間がかかる。ある対象が他の場所へ移動して消える。過ぎ去ったり流れたりする。機械などが正常に作動する。外部の衝撃や影響で正気を失う混乱した状態になる。電気などが消えるか通じない。（婉曲的に）人が死ぬ。あることについて納得や理解、推測などができる。価値や値段、順位などを示す言葉と結合して、ある対象を基準にしてどの程度まで達する。元の状態を失って傷んだり変質したりする。染みや汚れがよく落ちる。ある経路を通って動く。あることをするために他の場所へ移動する。賭け事や勝負でいくらかの金額を賭ける。ある現象や状態が維持される。話している人、または話している人が定めるある基準点から離れていき、前の言葉が意味する行動や状態が継続して進行することを示す。,行く,等級:1 語種:固有語 品詞:動詞・補助動詞 risk:multi_pos
1등급,가두다,동사,動詞,고유어,,,,"「1」사람이나 동물을 벽으로 둘러싸거나 울타리가 있는 일정한 장소에 넣고 밖으로 나오지 못하게 하다.
「2」물 따위를 일정한 곳에 괴어 있게 하다.",人や動物を壁で囲まれたり、柵があったりする一定の場所に閉じ込めて外に出られないようにする。水などを一定の場所に溜めておく。,閉じ込める,等級:1 語種:固有語 品詞:動詞
1등급,가득,부사,副詞,고유어,,,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 모양.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많은 모양.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있는 상태.
「4」감정이나 정서, 생각 따위가 많거나 강한 모양.",分量や数などが、ある範囲や限度に満杯の状態。空いているところがなく人や物がたくさんある様子。匂いや光などが空間に広く広がっている状態。感情や情緒、考えなどが多くまたは強い様子。,いっぱい,等級:1 語種:固有語 品詞:副詞
1등급,가득하다,형용사,形容詞,고유어,,,,"「1」분량이나 수효 따위가 어떤 범위나 한도에 꽉 찬 상태에 있다.
「2」빈 데가 없을 만큼 사람이나 물건 따위가 많다.
「3」냄새나 빛 따위가 공간에 널리 퍼져 있다.
「4」감정이나 정서, 생각 따위가 많거나 강하다.",分量や数などが、ある範囲や限度に満杯の状態にある。空いているところがなく人や物がたくさんある。匂いや光などが空間に広く広がっている。感情や情緒、考えなどが多くまたは強い。,いっぱいだ,等級:1 語種:固有語 品詞:形容詞
1등급,가라앉다,동사,動詞,고유어,,,,"[1]「1」물 따위에 떠 있거나 섞여 있는 것이 밑바닥으로 내려앉다.
[1]「2」안개나 연기 따위가 낮게 드리우다.
[2]「1」바람이나 물결이 잠잠해지다.
[2]「2」흥분이나 아픔, 괴로움 따위가 수그러들거나 사라지다.
[2]「3」숨결이나 기침 따위가 순하게 되다.
[2]「4」붓거나 부풀었던 것이 줄어들어 본래의 모습대로 되다.
[2]「5」떠들썩하던 것이 조용해지다.
[2]「6」세차게 일어나던 것이 뜸해지다.
[2]「7」성하던 것이 활기를 잃은 상태로 되다.",水などに浮いているか混ざっているものが底に沈む。霧や煙などが低く垂れ込める。風や波が静まる。興奮や痛み、苦しみなどが収まるか消える。息遣いや咳などが穏やかになる。腫れたり膨らんだりしていたものが減って元の姿に戻る。騒がしかったものが静まる。激しく起きていたものが少なくなる。盛んだったものが活気を失った状態になる。,沈む,等級:1 語種:固有語 品詞:動詞
1등급,가래,명사,名詞,고유어,,,,허파에서 후두에 이르는 사이에서 생기는 끈끈한 분비물. 잿빛 흰색 또는 누런 녹색의 차진 풀같이 생겼으며 기침 따위에 의해서 밖으로 나온다.,肺から喉頭に至る間で生じる粘り気のある分泌物。灰白色または黄緑色の粘り気のある 풀のように見え、咳などによって外に出る。,痰,等級:1 語種:固有語 品詞:名詞
1등급,가렵다,형용사,形容詞,고유어,,,,"「1」피부에 긁고 싶은 느낌이 있다.
「2」못 견딜 정도로 어떤 말을 하거나 어떤 일을 하고 싶은 느낌이 있다.",皮膚にかきたい感じがある。我慢できないほど何かを言いたいか、何かをしたい感じがある。,かゆい,等級:1 語種:固有語 品詞:形容詞
1등급,가로,명사,名詞・副詞,고유어,,,,"[Ⅰ]왼쪽에서 오른쪽으로 나 있는 방향. 또는 그 길이.
[Ⅱ]왼쪽에서 오른쪽의 방향으로. 또는 옆으로 길게.",左から右へ伸びている方向。またはその長さ。左から右の方向へ。または横に長く。,横,等級:1 語種:固有語 品詞:名詞・副詞 risk:multi_pos
1등급,가로막다,동사,動詞,고유어,,,,"「1」앞을 가로질러 막다.
「2」말이나 행동, 일 따위를 제대로 하지 못하도록 방해하거나 막다.
「3」앞이 보이지 않도록 가리다.",前を横切って塞ぐ。言葉や行動、仕事などをまともにできないように妨害したり塞いだりする。前が見えないように隠す。,遮る,等級:1 語種:固有語 品詞:動詞
1등급,가루,명사,名詞,고유어,,,,딱딱한 물건을 보드라울 정도로 잘게 부수거나 갈아서 만든 것.,硬い物を柔らかくなるほど細かく砕いたり挽いたりして作ったもの。,粉,等級:1 語種:固有語 品詞:名詞
1등급,가르다,동사,動詞,고유어,,,,"[1]쪼개거나 나누어 따로따로 되게 하다.
[2]「1」물체가 공기나 물을 양옆으로 열며 움직이다.
[2]「2」옳고 그름을 따져서 구분하다.
[2]「3」승부나 등수 따위를 서로 겨루어 정하다.
[2]「4」양쪽으로 열어젖히다.",割ったり分けたりして別々にする。物体が空気や水を左右に開いて動く。 옳고 그름を比べて区別する。勝負や順位などを競って決める。左右に開いて見せる。,分ける,等級:1 語種:固有語 品詞:動詞
1등급,가르치다,동사,動詞,고유어,,,,"[1]「1」지식이나 기능, 이치 따위를 깨닫게 하거나 익히게 하다.
[1]「2」그릇된 버릇 따위를 고치어 바로잡다.
[1]「3」교육 기관에 보내 교육을 받게 하다.
[2]「1」상대편이 아직 모르는 일을 알도록 일러 주다.
[2]「2」사람의 도리나 바른길을 일깨우다.",知識や技能、道理などを理解させるか、習得させる。間違った癖などを直して正す。教育機関に送って教育を受けさせる。相手がまだ知らないことを知らせる。人の道理や正しい道を気づかせる。,教える,等級:1 語種:固有語 品詞:動詞
1등급,가르침,명사,名詞,고유어,,,,"도리나 지식, 사상, 기술 따위를 알게 함. 또는 그 내용.",道理や知識、思想、技術などを知らせること。またはその内容。,教え,等級:1 語種:固有語 品詞:名詞
1등급,가리다,동사,動詞,고유어,,,,보이거나 통하지 못하도록 막다.,見えたり通じたりしないように塞ぐ。,隠す,等級:1 語種:固有語 品詞:動詞
1등급,가리다,동사,動詞,고유어,,,,"「1」여럿 가운데서 하나를 구별하여 고르다.
「2」낯선 사람을 대하기 싫어하다.
「3」잘잘못이나 좋은 것과 나쁜 것 따위를 따져서 분간하다.
「4」똥오줌을 눌 곳에 누다.
「5」치러야 할 셈을 따져서 갚아 주다.
「6」음식을 골라서 먹다.
「7」머리를 대강 빗다.
「8」자기 일을 알아서 스스로 처리하다.",数ある中から一つを選んで取る。見知らぬ人を相手にするのを嫌がる。善し悪しや良いものと悪いものなどを比べて区別する。排泄をする場所にする。支払うべき勘定を比べて支払う。食べ物を選んで食べる。髪を大まかにとかす。自分の仕事を自分で処理する。,選ぶ,等級:1 語種:固有語 品詞:動詞
1등급,가리키다,동사,動詞,고유어,,,,"「1」손가락 따위로 어떤 방향이나 대상을 집어서 보이거나 말하거나 알리다.
「2」어떤 대상을 특별히 집어서 두드러지게 나타내다.",指や物などで方向や対象を示して見せたり、言ったり、知らせたりする。特定の対象を際立たせて示す。,指し示す,等級:1 語種:固有語 品詞:動詞
1등급,가만,부사,副詞・間投詞,고유어,,,,"[Ⅰ]「1」움직이지 않거나 아무 말 없이.
[Ⅰ]「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
[Ⅰ]「3」마음을 가다듬어 곰곰이.
[Ⅰ]「4」말없이 찬찬히.
[Ⅱ]남의 말이나 행동을 막을 때 쓰는 말.",動かないで、または何も言わずに。何もしないでそのまま。心を落ち着けてじっくりと。黙ってじっくりと。他人の言葉や行動を制止するときに使う言葉。,じっと,等級:1 語種:固有語 品詞:副詞・間投詞 risk:multi_pos
1등급,가만있다,동사,動詞,고유어,,,,"[1]몸을 움직이거나 활동하지 않고 조용히 있다.
[2]「1」어떤 대책을 세우거나 손을 쓰지 않고 잠자코 있다.
[2]「2」갑자기 떠오르지 않는 기억이나 생각을 더듬을 때에 별 뜻이 없이 하는 말.",体を動かしたり活動したりせずに静かにしている。何もしないで黙っている。ふと思い浮かばない記憶や考えをたどるときに、特に意味なく使う言葉。,じっとしている,等級:1 語種:固有語 品詞:動詞
1등급,가만히,부사,副詞,고유어,,,,"「1」움직이지 않거나 아무 말 없이.
「2」어떤 대책을 세우거나 손을 쓰지 않고 그냥 그대로.
「3」마음을 가다듬어 곰곰이.
「4」말없이 찬찬히.
「5」움직임 따위가 그다지 드러나지 않을 만큼 조용하고 은은하게.",動かないで、または何も言わずに。何もしないでそのまま。心を落ち着けてじっくりと。黙ってじっくりと。動きなどがそれほど表に出ないほど静かでほのかに。,静かに,等級:1 語種:固有語 品詞:副詞
1등급,가방,명사,名詞,고유어,,,,"물건을 넣어 들거나 메고 다닐 수 있게 만든 용구. 가죽이나 천, 비닐 따위로 만든다.",物を入れて持ったり背負ったりして持ち運べるように作った道具。革や布、ビニールなどで作る。,カバン,等級:1 語種:固有語 品詞:名詞
1등급,가볍다,형용사,形容詞,고유어,,,,"[1]「1」무게가 일반적이거나 기준이 되는 대상의 것보다 적다.
[1]「2」비중이나 가치, 책임 따위가 낮거나 적다.
[1]「3」죄과나 실수 따위가 그다지 심하지 않다.
[1]「4」병세나 상처 따위가 그다지 심하지 않다.
[1]「5」생각이나 언어, 행동이 침착하지 못하거나 진득하지 못하다.
[1]「6」몸이나 손발 따위의 움직임이 날쌔고 재다.
[1]「7」노력이나 부담 따위가 적다.
[1]「8」정도가 대수롭지 않고 예사롭다.
[1]「9」다루기에 힘이 들지 않고 수월하다.
[1]「10」바람이나 물결 따위의 이는 정도가 약하다.
[1]「11」닿는 정도가 약하다.
[1]「12」소리나 색깔 따위가 밝고 경쾌하다.
[1]「13」세금이나 잘못에 대한 대가로 치르는 형량, 벌금 따위가 적다.
[1]「14」옷차림이나 화장이 요란하지 않고 산뜻하거나 활동하기에 편하다.
[2]마음이 홀가분하고 경쾌하다.",重さが一般的または基準となる対象のものより少ない。比重や価値、責任などが低いまたは少ない。罪過や失敗などがそれほどひどくない。病状や傷などがそれほどひどくない。考えや言葉、行動が落ち着いていない、または粘り強くない。体や手足などの動きがすばしこく機敏である。努力や負担などが少ない。程度がたいしたことなく、ありふれている。扱うのに力が要らず、容易である。風や波などが立つ程度が弱い。触れる程度が弱い。音や色などが明るく軽快である。税金や過ちに対する代償として支払う刑期、罰金などが少ない。服装や化粧が派手でなくすっきりしている、または活動しやすい。心が晴れやかで軽快である。,軽い,等級:1 語種:固有語 品詞:形容詞
1등급,가슴,명사,名詞,고유어,,,,"「1」배와 목 사이의 앞부분.
「2」목과 가로막 사이의 부분. 심장, 허파 등이 있다.
「3」등뼈, 갈비뼈, 가슴뼈와 가로막으로 이루어지는 원통 모양의 부분. 심장, 허파, 식도 따위를 보호하고 흉근으로 운동하여 호흡 운동을 돕는다.
「4」마음이나 생각.
「5」윗옷의 가슴 부분.
「6」젖이 있는 가슴 부위.
「7」절지동물의 가슴 부분의 마디.",腹と首の間にある前面。首と横隔膜の間にある部分。心臓、肺などがある。背骨、肋骨、胸骨と横隔膜で構成される円筒状の部分。心臓、肺、食道などを保護し、胸筋で運動して呼吸運動を助ける。心や考え。上着の胸の部分。乳房のある胸の部位。節足動物の胸の部分の節。,胸,等級:1 語種:固有語 品詞:名詞
1등급,가시,명사,名詞,고유어,,,,"「1」바늘처럼 뾰족하게 돋친 것.
「2」물고기의 잔뼈.
「3」살에 박힌 나무 따위의 가늘고 뾰족한 거스러미.
「4」남을 공격하거나 불평불만의 뜻을 담은 표현을 비유적으로 이르는 말.
「5」식물의 줄기나 잎 또는 열매를 싸고 있는 것의 겉면에 바늘처럼 뾰족하게 돋아난 것. 식물이 제 몸을 보호하기 위하여 가지나 잎이 뾰족하게 변태한 것이다.",針のように鋭く突き出たもの。魚の小骨。肉に刺さった木などの細く鋭いささくれ。他人を攻撃したり不満の意を含んだ表現を比喩的に言う言葉。植物の茎や葉または果実を包むものの表面に針のように鋭く突き出たもの。植物が自身の身を守るために、枝や葉が鋭く変化したものである。,棘,等級:1 語種:固有語 品詞:名詞
1등급,가시다,동사,動詞,고유어,,,,"「1」어떤 상태가 없어지거나 달라지다.
「2」물 따위로 깨끗이 씻다.",ある状態がなくなるか変わる。水などで綺麗に洗う。,取り除く,等級:1 語種:固有語 品詞:動詞
1등급,가엾다,형용사,形容詞,고유어,,,,마음이 아플 만큼 안되고 처연하다.,心が痛むほどかわいそうで痛ましい。,哀れ,等級:1 語種:固有語 品詞:形容詞
1등급,가운데,명사,名詞,고유어,,,,"「1」일정한 공간이나 길이를 갖는 사물에서, 한쪽으로 치우치지 않고 양 끝에서 거의 같은 거리가 떨어져 있는 부분.
「2」양쪽의 사이.
「3」여럿으로 이루어진 일정한 범위의 안.
「4」순서에서, 처음이나 마지막이 아닌 중간.
「5」어떤 일이나 상태가 이루어지는 범위의 안.",一定の空間や長さを持つ物事において、一方に偏らず両端からほぼ同じ距離が離れている部分。両方の間。多数で構成される一定の範囲の内側。順序において、最初や最後ではない中間。ある事柄や状態が成立する範囲の内側。,真ん中,等級:1 語種:固有語 品詞:名詞
1등급,가위,명사,名詞,고유어,,,,"「1」옷감, 종이, 머리털 따위를 자르는 기구. 날이 있는 두 개의 쇠를 교차시켜 가운데 사북을 박고, 지레의 원리를 이용하여 다리를 벌렸다 오므렸다 하여 자른다.
「2」가위바위보에서, 집게손가락과 가운뎃손가락 또는 엄지손가락을 벌려 내미는 동작. 또는 그런 손.",布、紙、髪の毛などを切る道具。刃のある二つの鉄を交差させて中央の軸を打ち、てこの原理を利用して脚を開いたり閉じたりして切る。じゃんけんのチョキ。またはそのような手。,ハサミ,等級:1 語種:固有語 品詞:名詞
1등급,가을,명사,名詞,고유어,,,,"한 해의 네 철 가운데 셋째 철. 여름과 겨울의 사이이며, 달로는 9~11월, 절기(節氣)로는 입추부터 입동 전까지를 이른다.",一年の四つの季節のうちの第三の季節。夏と冬の間であり、月では9～11月、節気では立秋から立冬の前までを指す。,秋,等級:1 語種:固有語 品詞:名詞
1등급,가장,부사,副詞,고유어,,,,여럿 가운데 어느 것보다 정도가 높거나 세게.,多数の中でどれよりも程度が高い、または強い。,最も,等級:1 語種:固有語 品詞:副詞
1등급,가져가다,동사,動詞,고유어,,,,"「1」무엇을 한 지점에서 다른 지점으로 옮겨 가다.
「2」어떤 결과나 상태로 끌고 가다.",何かをある地点から別の地点へ移して行く。ある結果や状態に引き連れて行く。,持っていく,等級:1 語種:固有語 品詞:動詞
1등급,가져다주다,동사,動詞,고유어,,,,"「1」무엇을 옮겨다가 가지게 하다.
「2」어떤 상태나 결과를 낳게 하다.",何かを移してきて持たせる。ある状態や結果を生じさせる。,持ってきて与える,等級:1 語種:固有語 品詞:動詞
1등급,가져오다,동사,動詞,고유어,,,,"「1」무엇을 한 지점에서 다른 지점으로 옮겨 오다.
「2」어떤 결과나 상태를 생기게 하다.",何かをある地点から別の地点へ移して来る。ある結果や状態を生じさせる。,持ってくる,等級:1 語種:固有語 品詞:動詞
1등급,가죽,명사,名詞,고유어,,,,"「1」동물의 몸을 감싸고 있는 질긴 껍질.
「2」동물의 몸에서 벗겨 낸 껍질을 가공해서 만든 물건.
「3」사람의 피부를 낮잡아 이르는 말.",動物の体を包んでいる丈夫な皮。動物の体から剥がした皮を加工して作った物。人の皮膚を卑しめて言う言葉。,革,等級:1 語種:固有語 品詞:名詞
1등급,가지,명사,名詞,고유어,,,,"「1」나무나 풀의 원줄기에서 뻗어 나온 줄기.
「2」근본에서 갈라져 나온 것.
「3」단독으로 쓰이지 아니하고 항상 다른 어근(語根)이나 단어에 붙어 새로운 단어를 구성하는 부분. 접두사(接頭辭)와 접미사(接尾辭)가 있다.",木や草の原幹から伸びた幹。根本から分かれて出たもの。単独で使われず、常に他の語根や単語にくっついて新しい単語を構成する部分。接頭辞と接尾辞がある。,枝,等級:1 語種:固有語 品詞:名詞
1등급,가지,의존명사,依存名詞,고유어,,,,"「1」사물을 그 성질이나 특징에 따라 종류별로 낱낱이 헤아리는 말.
「2」제기차기에서, 제기를 차기 시작해서 땅에 떨어뜨리기까지의 동안을 세는 단위.",物をその性質や特徴によって種類別に一つ一つ数える言葉。蹴鞠で、蹴り始めて地面に落とすまでの間を数える単位。,種類,等級:1 語種:固有語 品詞:依存名詞
1등급,가지다,동사,動詞・補助動詞,고유어,,,,"[Ⅰ][1]「1」손이나 몸 따위에 있게 하다.
[Ⅰ][1]「2」자기 것으로 하다.
[Ⅰ][1]「3」직업, 자격증 따위를 소유하다.
[Ⅰ][1]「4」모임을 치르다.
[Ⅰ][1]「5」아이나 새끼, 알을 배 속에 지니다.
[Ⅰ][1]「6」거느리거나 모시거나 두다.
[Ⅰ][1]「7」앞에 오는 말이 수단이나 방법이 됨을 강조하여 나타낸다.
[Ⅰ][1]「8」앞에 오는 말이 대상이 됨을 강조하여 나타낸다.
[Ⅰ][2]생각, 태도, 사상 따위를 마음에 품다.
[Ⅰ][3]관계를 맺다.
[Ⅱ]앞말이 뜻하는 행동의 결과나 상태가 그대로 유지되거나, 또는 그럼으로써 뒷말의 행동이나 상태가 유발되거나 가능하게 됨을 나타내는 말.",手や体に持たせる。自分の物にする。職業、資格などを所有する。会を開く。子供や子、卵を身ごもる。従えたり、仕えさせたり、置いたりする。前に来る言葉が手段や方法であることを強調して示す。前に来る言葉が対象であることを強調して示す。考え、態度、思想などを心に抱く。関係を結ぶ。前の言葉が意味する行動の結果や状態がそのまま維持される、またはそれによって後ろの言葉の行動や状態が誘発されるか可能になることを示す言葉。,持つ,等級:1 語種:固有語 品詞:動詞・補助動詞 risk:multi_pos
1등급,간,명사,名詞,고유어,,,,"「1」음식물에 짠맛을 내는 물질. 소금, 간장, 된장 따위를 통틀어 이른다.
「2」음식물의 짠 정도.",食べ物に塩味をつける物質。塩、醤油、味噌などを総称する。食べ物の塩加減。,味,等級:1 語種:固有語 品詞:名詞
1등급,간지럽다,형용사,形容詞,고유어,,,,"「1」무엇이 살에 닿아 가볍게 스칠 때처럼 견디기 어렵게 자리자리한 느낌이 있다.
「2」어떤 일을 하고 싶어 참고 견디기 어렵다.
「3」몹시 어색하거나 거북하거나 더럽고 치사하여 마음에 자리자리한 느낌이 있다.",何かが肌に触れて軽くこすれるときのように、耐え難いほどむずがゆい感じがある。あることをしたくて我慢できない。非常に気まずかったり、気恥ずかしかったり、汚くてみっともないので、心にむずがゆい感じがある。,くすぐったい,等級:1 語種:固有語 品詞:形容詞
1등급,갇히다,동사,動詞,고유어,,,,"「1」사람이나 동물이 벽으로 둘러싸이거나 울타리가 있는 일정한 장소에 넣어져 밖으로 나오지 못하게 되다. ‘가두다「1」’의 피동사.
「2」어떤 공간이나 상황에 있게 되다.",人や動物が壁で囲まれたり、柵のある一定の場所に置かれて外に出られなくなる。閉じ込めるの受動詞。ある空間や状況にいる。,閉じ込められる,等級:1 語種:固有語 品詞:動詞
1등급,갈다,동사,動詞,고유어,,,,"「1」이미 있는 사물을 다른 것으로 바꾸다.
「2」어떤 직책에 있는 사람을 다른 사람으로 바꾸다.",既にあった物を他の物に換える。ある役職にいる人を他の人に換える。,替える,等級:1 語種:固有語 品詞:動詞
1등급,갈다,동사,動詞,고유어,,,,"「1」날카롭게 날을 세우거나 표면을 매끄럽게 하기 위하여 다른 물건에 대고 문지르다.
「2」잘게 부수기 위하여 단단한 물건에 대고 문지르거나 단단한 물건 사이에 넣어 으깨다.
「3」먹을 풀기 위하여 벼루에 대고 문지르다.
「4」윗니와 아랫니를 맞대고 문질러 소리를 내다.",1. 刃物を鋭くしたり表面を滑らかにするために、他の物にこすりつける。 2. 細かく砕くために硬い物にこすりつけたり、硬い物の間に挟んで潰す。 3. 墨をすりおろすために硯にこすりつける。 4. 上下の歯を合わせてこすり、音を立てる。,研ぐ,等級:1 語種:固有語 品詞:動詞
