등급,어휘,품사,日本語品詞,어종,원어,日本の漢字,外来語,의미,定義の日本語訳,日本語訳,tags
2등급,가을바람,명사,名詞,고유어,,,,가을에 부는 선선하고 서늘한 바람.,秋に吹く涼しく冷たい風。,秋風,等級:2 語種:固有語 品詞:名詞
2등급,가입,명사,名詞,한자어,加入,加入,,"「1」조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함.
「2」새로 더 집어넣음.
「3」조약문의 인증 절차 없이, 그 조약에 드는 행위. 의사 표시만으로 당사자가 될 수 있게 하여 법 공동체를 확대하려는 데 목적이 있다.",「1」組織や団体などに入ること、またはサービスを提供する商品などを申し込むこと。 「2」新しく付け加えること。 「3」条約の認証手続きなしに、その条約に入ること。意思表示だけで当事者になれるようにして法共同体を拡大しようとする目的がある。,加入,等級:2 語種:漢字語 品詞:名詞
2등급,가입하다,동사,動詞,혼종어,加入하다,,,"[1]「1」조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청하다.
[1]「2」조약문의 인증 절차 없이, 그 조약에 들다. 의사 표시만으로 당사자가 될 수 있게 하여 법 공동체를 확대하려는 데 목적이 있다.
[2]새로 더 집어넣다.",[1]「1」組織や団体などに入ること、またはサービスを提供する商品などを申し込むこと。 [1]「2」条約の認証手続きなしに、その条約に入ること。意思表示だけで当事者になれるようにして法共同体を拡大しようとする目的がある。 [2]新しく付け加える。,加入する,等級:2 語種:混種語 品詞:動詞
2등급,가장,명사,名詞,한자어,家長,家長,,"「1」한 가정을 이끌어 나가는 사람.
「2」‘남편01’을 달리 이르는 말.",「1」一つの家庭を率いていく人。 「2」「夫」を別の言い方でいう言葉。,家長,等級:2 語種:漢字語 品詞:名詞
2등급,가재,명사,名詞,고유어,,,,"가잿과의 하나. 게와 새우의 중간 모양인데 앞의 큰 발에 집게발톱이 있다. 뒷걸음질을 잘하며 폐디스토마를 옮긴다. 개울 상류의 돌 밑에 사는데 한국, 일본 등지에 분포한다.",ザリガニ科の一つ。カニとエビの中間のような形をしており、前の大きな足にハサミがある。後ろ歩きが得意で、肺吸虫を媒介する。小川の上流の石の下に生息し、韓国、日本などに分布する。,ザリガニ,等級:2 語種:固有語 品詞:名詞
2등급,가정집,명사,名詞,혼종어,家庭집,,,개인의 살림집.,個人の住む家。,家庭,等級:2 語種:混種語 品詞:名詞
2등급,가족사진,명사,名詞,한자어,家族寫眞,家族写真,,가족들이 함께 찍은 사진.,家族が一緒に写った写真。,家族写真,等級:2 語種:漢字語 品詞:名詞
2등급,가족회의,명사,名詞,한자어,家族會議,家族会議,,가족끼리 하는 회의.,家族同士で行う会議。,家族会議,等級:2 語種:漢字語 品詞:名詞
2등급,가지가지,명사,名詞,고유어,,,,이런저런 여러 가지.,あれこれと様々なこと。,色々,等級:2 語種:固有語 品詞:名詞
2등급,가치,명사,名詞,한자어,價値,価値,,"「1」사물이 지니고 있는 쓸모.
「2」대상이 인간과의 관계에 의하여 지니게 되는 중요성.
「3」인간의 욕구나 관심의 대상 또는 목표가 되는 진, 선, 미 따위를 통틀어 이르는 말.",「1」物が持つ有用性。 「2」対象が人間との関係において持つ重要性。 「3」人間の欲求や関心の対象、または目標となる真、善、美などを総称する言葉。,価値,等級:2 語種:漢字語 品詞:名詞
2등급,가파르다,형용사,形容詞,고유어,,,,산이나 길이 몹시 기울어져 있다.,山や道が非常に傾いている。,急だ,等級:2 語種:固有語 品詞:形容詞
2등급,각오,명사,名詞,한자어,覺悟,覚悟,,"「1」앞으로 해야 할 일이나 겪을 일에 대한 마음의 준비.
「2」도리를 깨쳐 앎.",「1」これからすべきことや経験することに対する心の準備。 「2」道理を悟って知ること。,覚悟,等級:2 語種:漢字語 品詞:名詞
2등급,각오하다,동사,動詞,혼종어,覺悟하다,,,"「1」앞으로 해야 할 일이나 겪을 일에 대한 마음의 준비를 하다.
「2」도리를 깨쳐 알다.",「1」これからすべきことや経験することに対する心の準備をすること。 「2」道理を悟って知ること。,覚悟する,等級:2 語種:混種語 品詞:動詞
2등급,각종,명사,名詞,한자어,各種,各種,,온갖 종류. 또는 여러 종류.,あらゆる種類。またはいくつかの種類。,各種,等級:2 語種:漢字語 品詞:名詞
2등급,간신히,부사,副詞,혼종어,艱辛히,,,겨우 또는 가까스로.,やっと、またはなんとか。,かろうじて,等級:2 語種:混種語 品詞:副詞
2등급,간절하다,형용사,形容詞,혼종어,懇切하다,,,"「1」정성이나 마음 씀씀이가 더없이 정성스럽고 지극하다.
「2」마음속에서 우러나와 바라는 정도가 매우 절실하다.",1. 誠意や思いやりがこの上なく誠実でひたむきである。 2. 心の中から湧き上がり、願う程度が非常に切実である。,切実だ,等級:2 語種:混種語 品詞:形容詞
2등급,간절히,부사,副詞,혼종어,懇切히,,,"「1」더없이 정성스럽고 지극한 마음으로.
「2」마음속에서 우러나와 바라는 정도가 매우 절실하게.",1. この上なく誠実でひたむきな心で。 2. 心の中から湧き上がり、願う程度が非常に切実に。,切実に,等級:2 語種:混種語 品詞:副詞
2등급,간직하다,동사,動詞,고유어,,,,"「1」물건 따위를 어떤 장소에 잘 간수하여 두다.
「2」생각이나 기억 따위를 마음속에 깊이 새겨 두다.",1. 物などをある場所に大切にしまっておく。 2. 考えや記憶などを心の中に深く刻んでおく。,保管する,等級:2 語種:固有語 品詞:動詞
2등급,간질간질,부사,副詞,고유어,,,,"「1」자꾸 간지러운 느낌이 드는 상태.
「2」참기 어려울 정도로 자꾸 어떤 일을 하고 싶어 하는 상태.
「3」몹시 어색하거나 거북하거나 더럽고 치사하여 마음이 매우 자리자리한 느낌.",1. くすぐったい感じが続く状態。 2. 我慢できないほど、何かをしたい状態。 3. 非常に気まずく、または不潔で、心がざわざわする感じ。,むずむず,等級:2 語種:固有語 品詞:副詞
2등급,갈다,동사,動詞,고유어,,,,"「1」쟁기나 트랙터 따위의 농기구나 농기계로 땅을 파서 뒤집다.
「2」주로 밭작물의 씨앗을 심어 가꾸다.",1. 鋤やトラクターなどで土を耕してひっくり返す。 2. 主に畑の作物の種を植えて育てる。,耕す,等級:2 語種:固有語 品詞:動詞
2등급,갈리다,동사,動詞,고유어,,,,"「1」쪼개지거나 나뉘어져 따로따로 되다. ‘가르다[1]’의 피동사.
「2」승부나 등수 따위가 서로 겨루어져 정해지다. ‘가르다[2]「3」’의 피동사.",1. 分割されたり分割されたりして、別々になる。「分ける」の受動詞。 2. 勝負や順位などが競い合って決まる。「分ける」の受動詞。,分けられる,等級:2 語種:固有語 品詞:動詞
2등급,갈리다,동사,動詞,고유어,,,,"「1」다른 물건에 문질러져 날카롭게 날이 서거나 표면이 매끄러워지다. ‘갈다02「1」’의 피동사.
「2」단단한 물건에 문질러져 잘게 부숴지거나 단단한 물건 사이에 넣어져 으깨지다. ‘갈다02「2」’의 피동사.
「3」벼루에 문질러져 먹이 풀어지다. ‘갈다02「3」’의 피동사.
「4」윗니와 아랫니가 맞대어 문질러지다. ‘갈다02「4」’의 피동사.
「5」갈이칼에 깎이다.",1. 他の物にこすられて刃が鋭くなるか、表面が滑らかになる。「研ぐ」の受動詞。 2. 硬い物にこすられて細かく砕かれるか、硬い物の間に挟まれて潰される。「研ぐ」の受動詞。 3. 硯でこすられて墨が溶ける。「研ぐ」の受動詞。 4. 上下の歯が合わさってこすられる。「研ぐ」の受動詞。 5. 研ぎ器で削られる。,研がれる,等級:2 語種:固有語 品詞:動詞
2등급,갈비뼈,명사,名詞,고유어,,,,"가슴을 구성하는 뼈. 좌우 열두 쌍이 있는데, 위쪽 일곱 쌍은 척추뼈에서 몸의 양쪽으로 굽어 흉골에 붙고 아래쪽 다섯 쌍은 짧아 앞이 서로 떨어져 있으며, 흉부의 기관을 보호한다.",胸を構成する骨。左右十二対あり、上の七対は脊椎骨から体の両側に曲がって胸骨に付き、下の五対は短く前が互いに離れており、胸部の器官を保護する。,あばら骨,等級:2 語種:固有語 品詞:名詞
2등급,갈비찜,명사,名詞,고유어,,,,소나 돼지 따위의 갈비를 양념과 간을 하여 국물이 바특하게 흠씬 삶은 음식.,牛や豚などのカルビを調味料と味付けをして、汁気が少なくなるまで煮込んだ料理。,カルビチム,等級:2 語種:固有語 品詞:名詞
2등급,갈아타다,동사,動詞,고유어,,,,타고 가던 것에서 내려 다른 것으로 바꾸어 타다.,乗っていたものから降りて、他のものに乗り換える。,乗り換える,等級:2 語種:固有語 品詞:動詞
2등급,갈증,명사,名詞,한자어,渴症,渇,,"「1」목이 말라 물을 마시고 싶은 느낌.
「2」목이 마른 듯이 무언가를 몹시 조급하게 바라는 마음을 비유적으로 이르는 말.",1. 喉が渇いて水を飲みたくなる感じ。 2. 喉が渇いたように何かを非常に急いで願う心を比喩的に言う言葉。,渇き,等級:2 語種:漢字語 品詞:名詞
2등급,감,명사,名詞,한자어,感,感,,"「1」느낌이나 생각.
「2」수신기나 측정기 따위가 전파나 소리를 받는 정도.",1. 感じや考え。 2. 受信機や測定器などが電波や音を受け取る程度。,感,等級:2 語種:漢字語 品詞:名詞
2등급,감각,명사,名詞,한자어,感覺,感覚,,"「1」눈, 코, 귀, 혀, 살갗을 통하여 바깥의 어떤 자극을 알아차림.
「2」사물에서 받는 인상이나 느낌.",1. 目、鼻、耳、舌、皮膚を通して外部の何らかの刺激を知覚すること。 2. 物事から受ける印象や感じ。,感覚,等級:2 語種:漢字語 品詞:名詞
2등급,감귤,명사,名詞,한자어,柑橘,柑橘,,귤과 밀감을 통틀어 이르는 말.,みかんと温州みかんを総称する言葉。,柑橘,等級:2 語種:漢字語 品詞:名詞
2등급,감나무,명사,名詞,고유어,,,,"감나뭇과의 낙엽 교목. 높이는 10미터 정도이며, 잎은 어긋나고 넓은 타원형이다. 5~6월에 누런 통꽃이 취산(聚繖) 화서로 피고 열매는 장과(漿果)로 가을에 주황색 또는 붉은색으로 익는다. 열매는 ‘감’이라고 하여 그냥 먹거나 곶감을 만들고 나무는 가구 재료로 쓴다. 과실나무의 하나로 한국의 중부 이남, 일본, 중국 등지에 분포한다.",柿の木の落葉高木。高さは約10メートルで、葉は互生し、広い楕円形である。5～6月に黄色い花が集散花序で咲き、実は液果で秋に橙色または赤色に熟す。実は「柿」と言ってそのまま食べたり干し柿にしたりし、木は家具の材料に使う。果樹の一つで、韓国の中部以南、日本、中国などに分布する。,柿の木,等級:2 語種:固有語 品詞:名詞
2등급,감방,명사,名詞,한자어,監房,監房,,"교도소에서, 죄수를 가두어 두는 방.",刑務所で、罪人を閉じ込めておく部屋。,監房,等級:2 語種:漢字語 品詞:名詞
2등급,감사히,부사,副詞,혼종어,感謝히,,,고마운 마음으로.,ありがたい心で。,感謝して,等級:2 語種:混種語 品詞:副詞
2등급,감상,명사,名詞,한자어,鑑賞,感傷,,마음속에서 일어나는 느낌이나 생각.,心の中に起こる感じや考え。,感傷,等級:2 語種:漢字語 品詞:名詞
2등급,감상하다,동사,動詞,혼종어,鑑賞하다,,,주로 예술 작품을 이해하여 즐기고 평가하다.,主に芸術作品を理解して楽しんで評価する。,鑑賞する,等級:2 語種:混種語 品詞:動詞
2등급,감시,명사,名詞,한자어,監視,監視,,단속하기 위하여 주의 깊게 살핌.,取り締まるために注意深く見ること。,監視,等級:2 語種:漢字語 品詞:名詞
2등급,감시하다,동사,動詞,혼종어,監視하다,,,단속하기 위하여 주의 깊게 살피다.,取り締まるために注意深く見ること。,監視する,等級:2 語種:混種語 品詞:動詞
2등급,감정,명사,名詞,한자어,感情,感情,,어떤 현상이나 일에 대하여 일어나는 마음이나 느끼는 기분.,ある現象や出来事に対して起こる心や感じる気分。,感情,等級:2 語種:漢字語 品詞:名詞
2등급,감쪽같이,부사,副詞,고유어,,,,꾸미거나 고친 것이 전혀 알아챌 수 없을 정도로 티가 나지 않게.,作りや直したところが全く気づかれないほど、痕跡がないように。,完璧に,等級:2 語種:固有語 品詞:副詞
2등급,감탄,명사,名詞,한자어,感歎/感嘆,感嘆,,마음속 깊이 느끼어 탄복함.,心の中で深く感じて感心すること。,感嘆,等級:2 語種:漢字語 品詞:名詞
2등급,감탄하다,동사,動詞,혼종어,感歎하다/感嘆하다,,,마음속 깊이 느끼어 탄복하다.,心の中で深く感じて感心する。,感嘆する,等級:2 語種:混種語 品詞:動詞
2등급,값싸다,형용사,形容詞,고유어,,,,"「1」물건 따위의 값이 낮다.
「2」가치나 보람이 적고 보잘것없다.",1. 物などの値段が低い。 2. 価値ややりがいが少なく、取るに足りない。,安い,等級:2 語種:固有語 品詞:形容詞
2등급,강강술래,명사,名詞,고유어,,,,정월 대보름날이나 팔월 한가위에 남부 지방에서 행하는 민속놀이. 여러 사람이 함께 손을 잡고 원을 그리며 빙빙 돌면서 춤을 추고 노래를 부른다. 2009년에 유네스코 세계 무형유산으로 지정되었다. 우리나라 국가 무형유산이다.,旧正月の大望の日のや8月の秋夕に行われる南部地方の民俗遊び。多くの人が手をつないで輪を描いて回りながら踊り、歌を歌う。2009年にユネスコ世界無形遺産に指定された。韓国の国家無形遺産である。,カンガンスルレ,等級:2 語種:固有語 品詞:名詞
2등급,강당,명사,名詞,한자어,講堂,講堂,,"「1」강연이나 강의, 의식 따위를 할 때에 쓰는 건물이나 큰 방.
「2」경(經)과 논(論)을 연구하고 학습하는 곳. 재래식 불교 학교를 이른다.",1. 講演や講義、儀式などを行うための建物や大きな部屋。 2. 経（経典）と論（論書）を研究し学習する場所。伝統的な仏教学校を指す。,講堂,等級:2 語種:漢字語 品詞:名詞
2등급,강도,명사,名詞,한자어,強盜,強盗,,폭행이나 협박 따위로 남의 재물을 빼앗는 도둑. 또는 그런 행위.,暴力や脅迫などで他人の財物を奪う泥棒。またはそのような行為。,強盗,等級:2 語種:漢字語 品詞:名詞
2등급,강력,명사,名詞,한자어,強力,強力,,힘이나 영향이 강함.,力や影響が強いこと。,強力,等級:2 語種:漢字語 品詞:名詞
2등급,강력하다,형용사,形容詞,혼종어,強力하다,,,"「1」힘이나 영향이 강하다.
「2」가능성이 크다.",1. 力や影響が強い。 2. 可能性が大きい。,強力だ,等級:2 語種:混種語 品詞:形容詞
2등급,강렬하다,형용사,形容詞,혼종어,強烈하다,,,강하고 세차다.,強く激しい。,強烈だ,等級:2 語種:混種語 品詞:形容詞
2등급,강제,명사,名詞,한자어,強制,強制,,권력이나 위력(威力)으로 남의 자유의사를 억눌러 원하지 않는 일을 억지로 시킴.,権力や威力で他人の自由意思を抑え、望まないことを無理にさせること。,強制,等級:2 語種:漢字語 品詞:名詞
2등급,강조,명사,名詞,한자어,強調,強調,,어떤 부분을 특별히 강하게 주장하거나 두드러지게 함.,ある部分を特に強く主張したり、際立たせたりすること。,強調,等級:2 語種:漢字語 品詞:名詞
2등급,갖추다,동사,動詞,고유어,,,,"「1」있어야 할 것을 가지거나 차리다.
「2」필요한 자세나 태도 따위를 취하다.
「3」지켜야 할 도리나 절차를 따르다.",1. あるべきものを持つ、または用意する。 2. 必要な姿勢や態度などを取る。 3. 守るべき道理や手続きに従う。,備える,等級:2 語種:固有語 品詞:動詞
2등급,개다,동사,動詞,고유어,,,,"「1」흐리거나 궂은 날씨가 맑아지다.
「2」(비유적으로) 언짢거나 우울한 마음이 개운하고 홀가분해지다.",1. 曇りや悪天候が晴れやかになる。 2. （比喩的に）不快な、または憂鬱な気持ちがさっぱりして軽くなる。,晴れる,等級:2 語種:固有語 品詞:動詞
2등급,개발,명사,名詞,한자어,開發,開発,,"「1」토지나 천연자원 따위를 유용하게 만듦.
「2」지식이나 재능 따위를 발달하게 함.
「3」산업이나 경제 따위를 발전하게 함.
「4」새로운 물건을 만들거나 새로운 생각을 내어놓음.",1. 土地や天然資源などを有用なものにすること。 2. 知識や才能などを発達させること。 3. 産業や経済などを発展させること。 4. 新しい物を作ったり、新しい考えを出したりすること。,開発,等級:2 語種:漢字語 品詞:名詞
2등급,개발되다,동사,動詞,혼종어,開發되다,,,"「1」토지나 천연자원 따위가 유용하게 되다.
「2」지식이나 재능 따위가 발달하게 되다.
「3」산업이나 경제 따위가 발전하게 되다.
「4」새로운 물건이 만들어지거나 새로운 생각이 나오다.",1. 土地や天然資源などが有用になる。 2. 知識や才能などが発達する。 3. 産業や経済などが発展する。 4. 新しい物が作られたり、新しい考えが出されたりする。,開発される,等級:2 語種:混種語 品詞:動詞
2등급,개발하다,동사,動詞,혼종어,開發하다,,,"「1」토지나 천연자원 따위를 유용하게 만들다.
「2」지식이나 재능 따위를 발달하게 하다.
「3」산업이나 경제 따위를 발전하게 하다.
「4」새로운 물건을 만들거나 새로운 생각을 내어놓다.",1. 土地や天然資源などを有用なものにする。 2. 知識や才能などを発達させる。 3. 産業や経済などを発展させる。 4. 新しい物を作ったり、新しい考えを出したりする。,開発する,等級:2 語種:混種語 品詞:動詞
2등급,개성,명사,名詞,한자어,個性,個性,,다른 사람이나 개체와 구별되는 고유의 특성.,他の人や個体と区別される固有の特性。,個性,等級:2 語種:漢字語 品詞:名詞
2등급,갯벌,명사,名詞,고유어,,,,"밀물 때는 물에 잠기고 썰물 때는 물 밖으로 드러나는 모래 점토질의 평탄한 땅. 펄 갯벌, 혼성 갯벌, 모래 갯벌 따위가 있으며 생물상이 다양하게 분포한다.",満潮時には水に沈み、干潮時には水の外に現れる砂や粘土質の平坦な土地。泥干潟、混合干潟、砂干潟などがあり、生物相が多様に分布する。,干潟,等級:2 語種:固有語 品詞:名詞
2등급,거두다,동사,動詞,고유어,,,,"[1]「1」익은 곡식이나 열매 따위를 따서, 담거나 한데 모으다.
[1]「2」흩어져 있는 물건 따위를 한데 모으다.
[1]「3」좋은 결과나 성과 따위를 얻다.
[1]「4」시체, 유해 따위를 수습하다.
[1]「5」고아, 식구 따위를 보살피다.
[1]「6」집안일, 밭일 따위를 돌보아 살피다.
[2]여러 사람에게서 돈이나 물건 따위를 받아들이다.",[1] 1. 熟した穀物や果物などを摘んで、容器に入れたり、一箇所に集めたりする。 [1] 2. 散らばっている物などを一箇所に集める。 [1] 3. 良い結果や成果などを得る。 [1] 4. 死体、遺体などを収容する。 [1] 5. 孤児、家族などを世話する。 [1] 6. 家事、畑仕事などを世話して調べる。 [2] 多くの人からお金や物などを受け取る。,収穫する,等級:2 語種:固有語 品詞:動詞
2등급,거둬들이다,동사,動詞,고유어,,,,"[1]「1」‘거두어들이다[1]「1」’의 준말.
[1]「2」‘거두어들이다[1]「2」’의 준말.
[1]「3」‘거두어들이다[1]「3」’의 준말.
[1]「4」‘거두어들이다[1]「4」’의 준말.
[1]「5」‘거두어들이다[1]「5」’의 준말.
[1]「6」‘거두어들이다[1]「7」’의 준말.
[1]「7」‘거두어들이다[1]「8」’의 준말.
[1]「8」‘거두어들이다[1]「9」’의 준말.
[1]「9」‘거두어들이다[1]「10」’의 준말.
[1]「10」‘거두어들이다[1]「11」’의 준말.
[2]‘거두어들이다[2]’의 준말.",[1] 1. 「収穫して入れる」の略。 [1] 2. 「収穫して入れる」の略。 [1] 3. 「収穫して入れる」の略。 [1] 4. 「収穫して入れる」の略。 [1] 5. 「収穫して入れる」の略。 [1] 6. 「収穫して入れる」の略。 [1] 7. 「収穫して入れる」の略。 [1] 8. 「収穫して入れる」の略。 [1] 9. 「収穫して入れる」の略。 [1] 10. 「収穫して入れる」の略。 [2] 「収穫して入れる」の略。,集め入れる,等級:2 語種:固有語 品詞:動詞
2등급,거들다,동사,動詞,고유어,,,,"「1」남이 하는 일을 함께 하면서 돕다.
「2」남의 말이나 행동에 끼어들어 참견하다.",1. 他の人がしていることを一緒にして助ける。 2. 他の人の言葉や行動に割り込んで口出しする。,手伝う,等級:2 語種:固有語 品詞:動詞
2등급,거름,명사,名詞,고유어,,,,"식물이 잘 자라도록 땅을 기름지게 하기 위하여 주는 물질. 똥, 오줌, 썩은 동식물, 광물질 따위가 있다.",植物がよく育つように土地を肥沃にするために与える物質。糞尿、腐った動植物、鉱物などがある。,肥料,等級:2 語種:固有語 品詞:名詞
2등급,거리,의존명사,依存名詞,고유어,,,,"「1」어떤 행동을 하는 데 쓰이는 대상이나 소재.
「2」제시한 시간 동안 해낼 만한 일.
「3」제시한 수가 처리할 만한 것.
「4」‘재료’, ‘대상’, ‘소재’의 뜻을 나타내는 말.",1. ある行動をするのに使われる対象や素材。 2. 提示された時間内に達成できること。 3. 提示された数が処理できるもの。 4. 「材料」「対象」「素材」の意味を表す言葉。,距離,等級:2 語種:固有語 品詞:依存名詞
2등급,거만하다,형용사,形容詞,혼종어,倨慢하다,,,잘난 체하며 남을 업신여기는 데가 있다.,偉そうな態度で他人を見下すところがある。,傲慢だ,等級:2 語種:混種語 品詞:形容詞
2등급,거부,명사,名詞,한자어,拒否,拒否,,요구나 제의 따위를 받아들이지 않고 물리침.,要求や提案などを受け入れずに退けること。,拒否,等級:2 語種:漢字語 品詞:名詞
2등급,거부하다,동사,動詞,혼종어,拒否하다,,,요구나 제의 따위를 받아들이지 않고 물리치다.,要求や提案などを受け入れずに退ける。,拒否する,等級:2 語種:混種語 品詞:動詞
2등급,거북선,명사,名詞,혼종어,거북船,,,"임진왜란 때 이순신이 만들어 왜군을 무찌르는 데 크게 이바지한 거북 모양의 철갑선. 세계 최초의 철갑선으로, 등에는 창검과 송곳을 꽂아 적이 오르지 못하게 하였고, 앞머리와 옆구리 사방에는 화포를 설치하였다.",壬辰倭乱（文禄・慶長の役）の際、李舜臣が作り、倭軍を撃退するのに大きく貢献した亀の形をした鉄甲船。世界初の鉄甲船で、甲羅の上には槍や錐を立てて敵が乗れないようにし、船首と側面の四方には火砲を設置した。,亀甲船,等級:2 語種:混種語 品詞:名詞
2등급,거슬리다,동사,動詞,고유어,,,,순순히 받아들여지지 않고 언짢은 느낌이 들며 기분이 상하다.,素直に受け入れられず、不快な感じがして気分を害する。,気に障る,等級:2 語種:固有語 品詞:動詞
2등급,거위,명사,名詞,고유어,,,,"오릿과의 새. 크기와 색깔이 다른 여러 품종이 있으며, 목이 길다. 헤엄은 잘 치나 잘 날지는 못한다. 12~1월에 10~20개의 알을 낳는다. 기러기를 식육용(食肉用)으로 개량한 변종으로, 밤눈이 밝아서 개 대신으로 기르기도 한다.",カモ科の鳥。大きさや色が異なる多くの品種があり、首が長い。泳ぎは得意だが、あまり飛べない。12～1月に10～20個の卵を産む。ガンを食用に改良した変種で、夜目が利くため犬の代わりに飼うこともある。,がちょう,等級:2 語種:固有語 品詞:名詞
2등급,건너뛰다,동사,動詞,고유어,,,,"「1」일정한 공간을 사이에 두고 건너편으로 뛰다.
「2」차례를 거치지 않고 거르다.",一定の空間を置いて向こう側に跳ぶ。順序を踏まずに省く。,飛び越える,等級:2 語種:固有語 品詞:動詞
2등급,건네다,동사,動詞,고유어,,,,"[1]「1」돈이나 물건 따위를 남에게 옮기다.
[1]「2」남에게 말을 붙이다.
[2]무엇을 사이에 두고 한편에서 맞은편으로 가게 하다. ‘건너다「1」’의 사동사.",金銭や物品などを他人に移す。他人に言葉をかける。何かを挟んで一方から向こう側へ行かせる。「渡る」の使役。,渡す,等級:2 語種:固有語 品詞:動詞
2등급,건네주다,동사,動詞,고유어,,,,"「1」돈, 물건 따위를 남에게 옮기어 주다.
「2」건너게 하여 주다.",金銭、物品などを他人に移して与える。渡らせて与える。,渡し与える,等級:2 語種:固有語 品詞:動詞
2등급,건방지다,형용사,形容詞,고유어,,,,잘난 체하거나 남을 낮추어 보듯이 행동하는 데가 있다.,偉そうな態度をとったり、他人を見下すように行動したりする。,生意気だ,等級:2 語種:固有語 品詞:形容詞
2등급,걷다,동사,動詞,고유어,,,,"「1」늘어진 것을 말아 올리거나 열어 젖히다.
「2」널거나 깐 것을 다른 곳으로 치우거나 한곳에 두다.
「3」‘거두다01「2」’의 준말.",垂れているものを巻き上げたり、開いているものを閉じたりする。敷いているものなどを片付けたり、一箇所にまとめたりする。「収める」の略。,たたむ,等級:2 語種:固有語 品詞:動詞
