순위,단어,품사,품사 이름,품사 (일본어),풀이（意味）,등급,일본어 뜻
2432,감동,명,명사,名詞,感動,B,感動
7161,감동적,명,명사,名詞,感動的,C,感動的
6352,감사,명,명사,名詞,感謝,A,感謝
3847,감사하다,"형, 동","형용사, 동사","形容詞, 動詞",感謝-,A,感謝する
6530,감상,명,명사,名詞,鑑賞,B,感想
4321,감상하다,동,동사,動詞,鑑賞-,B,"鑑賞する, 観賞する, 観覧する"
5170,감소,명,명사,名詞,減少,C,減少
9431,감소되다,동,동사,動詞,減少-,C,減少する
4485,감소하다,동,동사,動詞,減少-,C,減少する
5445,감수성,명,명사,名詞,感受性,C,感受性
3174,감싸다,동,동사,動詞,,C,包む
3385,감옥,명,명사,名詞,監獄,C,監獄
3513,감자,명,명사,名詞,,B,"ジャガイモ,ポテト"
846,감정,명,명사,名詞,感情,B,感情
9892,감정적,명,명사,名詞,感情的,C,感情的
2092,감추다,동,동사,動詞,,C,隠す
3563,감히,부,부사,副詞,敢-,C,敢えて
7979,갑,명,명사,名詞,匣,C,"箱, 小箱"
475,갑자기,부,부사,副詞,,A,急に
4580,갑작스럽다,형,형용사,形容詞,,C,"思いがけない, 突然だ, 予期しない, 不意だ"
788,값,명,명사,名詞,,A,"値, 値段, 価格"
6946,값싸다,형,형용사,形容詞,,C,安っぽい
1812,강,명,명사,名詞,江,A,"河・川, 大河, 河川"
3344,강남,명,명사,名詞,江南,C,江南
8651,강당,명,명사,名詞,講堂,B,講堂
4669,강도,명,명사,名詞,"强度, 强盜",B,"硬度, 硬さ"
1738,강력하다,형,형용사,形容詞,强力-,C,強力だ
4757,강력히,부,부사,副詞,强力-,C,強力に
3514,강렬하다,형,형용사,形容詞,强烈-,C,強烈だ
2988,강물,명,명사,名詞,江-,B,江水
9433,강변,명,명사,名詞,江邊,C,"川辺, 川岸"
9894,강북,명,명사,名詞,江北,C,江北
5577,강사,명,명사,名詞,講師,C,講師
5578,강수량,명,명사,名詞,降水量,C,降水量
14028,강아지,명,명사,名詞,,B,"子犬, 犬ころ"
3564,강요하다,동,동사,動詞,强要-,C,強要する
,강원도,고,고유 명사,固有名詞,江原道,B,江原道
3101,강의,명,명사,名詞,講義,C,講義
10371,강의하다,동,동사,動詞,講義-,C,講義する
2275,강제,명,명사,名詞,强制,B,"強制, 押し付け, 強要"
7683,강조,명,명사,名詞,强調,C,強調
631,강조하다,동,동사,動詞,强調-,B,強調する
584,강하다,형,형용사,形容詞,强-,B,強い
2151,강화하다,동,동사,動詞,强化-,C,強化する
3725,갖가지,명,명사,名詞,,C,"色色, 様様, 多様"
190,갖다,"동, 보","동사, 보조 용언","動詞, 補助用言",가지다,B,"持つ, 携える"
784,갖추다,동,동사,動詞,,C,"備える, 具備する, 揃える"
22,같다,형,형용사,形容詞,,A,同じだ
203,같이,부,부사,副詞,,A,"一緒に, 共に"
4038,같이하다,동,동사,動詞,,C,"一緒にする, 共にする"
3386,갚다,동,동사,動詞,,C,"返す, 返済する"
85,개,"명, 의","명사, 의존 명사","名詞, 依存名詞","동물, 個",A,犬
5313,개개인,명,명사,名詞,個個人,C,個個人
4486,개구리,명,명사,名詞,,B,蛙
2914,개국,의,의존 명사,依存名詞,個國,C,ヶ国
7440,개나리,명,명사,名詞,,B,レンギョウ
8296,개다,동,동사,動詞,날이 ~,C,晴れる
3565,개미,명,명사,名詞,곤충,C,蟻
2565,개발되다,동,동사,動詞,開發-,C,開発される
1269,개발하다,동,동사,動詞,開發-,B,開発する
1296,개방,명,명사,名詞,開放,C,開放
5708,개방되다,동,동사,動詞,開放-,C,開放される
3787,개방하다,동,동사,動詞,開放-,C,開放する
4322,개별,명,명사,名詞,個別,C,個別
1562,개선,명,명사,名詞,改善,C,改善
4758,개선되다,동,동사,動詞,改善-,C,改善される
3137,개선하다,동,동사,動詞,改善-,C,改善する
1788,개성,명,명사,名詞,個性,C,個性
799,개월,의,의존 명사,依存名詞,個月,A,ヶ月
562,개인,명,명사,名詞,個人,B,個人
2758,개인적,명,명사,名詞,個人的,B,個人的
2490,객관적,명,명사,名詞,客觀的,C,客観的
1228,걔,불,분석 불능,分析不能,그 아이,B,
20,거,"대, 의","대명사, 의존 명사","代名詞, 依存名詞",것,A,物
293,거기,대,대명사,代名詞,,A,"そこ,そちら,	"
2989,거꾸로,부,부사,副詞,,C,逆に
1958,거대하다,형,형용사,形容詞,巨大-,C,巨大だ
1579,거두다,동,동사,動詞,,C,"片づける, 畳む"
5447,거들다,동,동사,動詞,,C,"手伝う, 手助けする"
3306,거듭,부,부사,副詞,,C,繰り返し
1148,거리,"명, 의","명사, 의존 명사","名詞, 依存名詞","길~, 반찬~, 距離",A,"街・町, 通り"
1864,거부하다,동,동사,動詞,拒否-,C,"拒否する, 断る, 拒絶する"
2675,거실,명,명사,名詞,居室,B,"居間, 茶の間"
3967,거액,명,명사,名詞,巨額,C,巨額
2109,거울,명,명사,名詞,,A,鏡
306,거의,부,부사,副詞,,B,"ほとんど
"
3726,거절하다,동,동사,動詞,拒絶-,C,"拒絶する, 拒否する, 断る, 遠慮する"
4039,거짓,명,명사,名詞,,B,"嘘, 偽り"
2246,거짓말,명,명사,名詞,,B,"嘘, 偽り"
819,거치다,동,동사,動詞,,C,邪魔になる
2306,거칠다,형,형용사,形容詞,,C,荒い
4040,거품,명,명사,名詞,,C,泡
1129,걱정,명,명사,名詞,,A,"心配, 懸念, 憂慮"
10384,걱정되다,동,동사,動詞,,B,"心配される, 思いやられる"
5850,걱정스럽다,형,형용사,形容詞,,B,心配だ
2491,걱정하다,동,동사,動詞,,A,心配する
1707,건,의,의존 명사,依存名詞,件,C,件
647,건강,명,명사,名詞,健康,A,健康
1297,건강하다,형,형용사,形容詞,健康-,A,"健康だ, 元気だ"
7984,건너,명,명사,名詞,,C,向こう
4255,건너가다,동,동사,動詞,,B,"渡る, 渡っていく"
2276,건너다,동,동사,動詞,,B,渡る
7167,건너오다,동,동사,動詞,,B,"渡る, 渡ってくる"
5448,건너편,명,명사,名詞,-便,B,"向かい側, 向こう側"
9030,건넌방,명,명사,名詞,-房,C,
4760,건네다,동,동사,動詞,,C,"渡す, 手渡す"
4112,건네주다,동,동사,動詞,,C,"渡す, 手渡す"
3907,건드리다,동,동사,動詞,,C,"触る, 触れる"
649,건물,명,명사,名詞,建物,A,建物
790,건설,명,명사,名詞,建設,C,建設
5851,건설되다,동,동사,動詞,建設-,C,建設される
2263,건설하다,동,동사,動詞,建設-,C,建設する
3388,건전하다,형,형용사,形容詞,健全-,C,健全だ
3849,건조,명,명사,名詞,乾燥,C,乾燥
8659,건조하다,형,형용사,形容詞,乾燥-,C,"乾燥する, 乾く"
2790,건지다,동,동사,動詞,,B,掬い上げる
2616,건축,명,명사,名詞,建築,B,建築
8660,걷기,명,명사,名詞,,C,"徒歩, 歩き"
546,걷다,동,동사,動詞,"느릿느릿 ~, 소매를 ~, 빨래를 ~",A,歩く
716,걸다,동,동사,動詞,옷을 ~,A,掛ける
380,걸리다,동,동사,動詞,'걸다'의 피동사,B,掛かる
1970,걸어가다,동,동사,動詞,,A,"歩いていく, 歩んでいく"
4041,걸어오다,동,동사,動詞,집까지 ~,A,"歩いてくる, 歩んでくる"
1647,걸음,명,명사,名詞,,B,"歩み, 歩行"
837,걸치다,동,동사,動詞,,C,掛かる
1585,검다,형,형용사,形容詞,색깔이 ~,B,黒い
1512,검사,명,명사,名詞,"檢事, 檢査",B,検査
3064,검은색,명,명사,名詞,-色,A,黒色
38923,검정색,명,명사,名詞,-色,B,黒色
2850,검토,명,명사,名詞,檢討,C,検討
2644,겁,명,명사,名詞,怯,B,"怖気, 恐怖心"
7987,겁나다,동,동사,動詞,怯-,C,"怖がる, 恐れる, 怯える"
1,것,의,의존 명사,依存名詞,,A,物
2759,겉,명,명사,名詞,,B,"表, 表面, 外"
4761,게,명,명사,名詞,동물,C,蟹
1415,게다가,부,부사,副詞,,B,"さらに
"
7687,게시판,명,명사,名詞,揭示板,C,掲示板
13080,게으르다,형,형용사,形容詞,,C,不精だ
877,게임,명,명사,名詞,game,A,遊びごと
1648,겨우,부,부사,副詞,,B,"やっと
"
920,겨울,명,명사,名詞,,A,"冬, 冬季"
6009,겨울철,명,명사,名詞,,B,冬季
5711,겨자,명,명사,名詞,,C,芥子菜
838,겪다,동,동사,動詞,,C,"経る, 味わう"
1341,견디다,동,동사,動詞,,B,"耐える, 忍ぶ, 堪える"
1470,견해,명,명사,名詞,見解,C,見解
211,결과,명,명사,名詞,結果,B,結果
4487,결과적,명,명사,名詞,結果的,C,結果的
352,결국,명,명사,名詞,結局,B,結局
1513,결론,명,명사,名詞,結論,C,結論
16464,결석,명,명사,名詞,缺席,C,欠席
25684,결석하다,동,동사,動詞,缺席-,C,欠席する
4113,결승,명,명사,名詞,決勝,C,決勝
4763,결심,명,명사,名詞,決心,C,決心
3623,결심하다,동,동사,動詞,決心-,B,決心する
1092,결정,명,명사,名詞,決定,B,決定
1986,결정되다,동,동사,動詞,決定-,B,決定される
1033,결정하다,동,동사,動詞,決定-,B,決定する
752,결코,부,부사,副詞,決-,C,決して
601,결혼,명,명사,名詞,結婚,A,結婚
3389,결혼식,명,명사,名詞,結婚式,A,結婚式
1130,결혼하다,동,동사,動詞,結婚-,A,結婚する
2461,경계,명,명사,名詞,境界,C,境界
2702,경고,명,명사,名詞,警告,C,警告
5712,경고하다,동,동사,動詞,警告-,C,警告する
739,경기,명,명사,名詞,"景氣, 競技",B,競技
,경기도,고,고유 명사,固有名詞,京畿道,B,京畿道
3624,경기장,명,명사,名詞,競技場,B,競技場
3672,경력,명,명사,名詞,經歷,C,経歴
,경복궁,고,고유 명사,固有名詞,景福宮,A,景福宮
4968,경비,명,명사,名詞,經費,C,"経費, 費用"
,경상도,고,고유 명사,固有名詞,慶尙道,B,慶尚道
1034,경영,명,명사,名詞,經營,B,"経営, 運営"
6746,경영하다,동,동사,動詞,經營-,C,"経営する, 運営する"
65,경우,명,명사,名詞,境遇,B,境遇
762,경쟁,명,명사,名詞,競爭,C,競争
2264,경쟁력,명,명사,名詞,競爭力,C,競争力
200,경제,명,명사,名詞,經濟,B,経済
4969,경제력,명,명사,名詞,經濟力,C,"経済力, 生活力"
2492,경제적,명,명사,名詞,經濟的,B,経済的
5713,경제학,명,명사,名詞,經濟學,C,経済学
,경주,고,고유 명사,固有名詞,慶州,A,競走
632,경찰,명,명사,名詞,警察,A,警察
2329,경찰관,명,명사,名詞,警察官,A,警察官
3214,경찰서,명,명사,名詞,警察署,A,警察署
5452,경치,명,명사,名詞,景致,A,"景色, 風景, 景観, 眺め"
1093,경향,명,명사,名詞,傾向,C,傾向
585,경험,명,명사,名詞,經驗,B,"経験, 体験, 見聞"
2170,경험하다,동,동사,動詞,經驗-,B,"経験する, 体験する"
1586,곁,명,명사,名詞,,B,"横, 側・傍"
2544,계곡,명,명사,名詞,溪谷,C,"渓谷, 谷間, 渓間・谿間"
2206,계단,명,명사,名詞,階段,B,階段
6951,계란,명,명사,名詞,鷄卵,A,卵
1827,계산,명,명사,名詞,計算,B,計算
3390,계산기,명,명사,名詞,計算器,B,計算機・計算器
2916,계산하다,동,동사,動詞,計算-,B,"計算する, 勘定する"
405,계속,부,부사,副詞,繼續,A,続けて
1075,계속되다,동,동사,動詞,繼續-,B,"続く, 継続する, 連続する, 持続する"
1149,계속하다,동,동사,動詞,繼續-,B,"続ける, 継続する, 連続する, 持続する"
1163,계시다,"보, 동","보조 용언, 동사","補助用言, 動詞",,A,いらっしゃる
2350,계약,명,명사,名詞,契約,B,契約
2520,계절,명,명사,名詞,季節,A,季節
3138,계좌,명,명사,名詞,計座,C,口座
2054,계층,명,명사,名詞,階層,C,階層
400,계획,명,명사,名詞,計劃,A,計画
4862,계획하다,동,동사,動詞,計劃-,B,計画する
403,고개,명,명사,名詞,"~를 돌리다, ~ 너머",B,首
1717,고객,명,명사,名詞,顧客,B,顧客
3968,고교,명,명사,名詞,高校,B,高校
,고구려,고,고유 명사,固有名詞,高句麗,C,高句麗・高勾麗
7996,고구마,명,명사,名詞,,B,"サツマイモ
"
11578,고궁,명,명사,名詞,古宮,C,古宮
1915,고급,명,명사,名詞,高級,B,高級
8305,고급스럽다,형,형용사,形容詞,高級-,C,高級だ
1055,고기,명,명사,名詞,,A,肉
1337,고등학교,명,명사,名詞,高等學校,A,"高校, 高等学校"
7445,고등학생,명,명사,名詞,高等學生,A,"高校生, 高等学生"
,고려,고,고유 명사,固有名詞,高麗,C,考慮
1490,고려하다,동,동사,動詞,考慮-,B,考慮する
1496,고르다,"동, 형","동사, 형용사","動詞, 形容詞","뽑다, 차이가 없다",B,"選ぶ, 選択する"
857,고맙다,형,형용사,形容詞,,A,有難い
1848,고모,명,명사,名詞,姑母,B,叔母・伯母
8668,고모부,명,명사,名詞,姑母夫,B,叔父・伯父
9911,고무신,명,명사,名詞,,C,ゴム靴
1748,고민,명,명사,名詞,苦悶,B,悩み
3104,고민하다,동,동사,動詞,苦悶-,B,悩む
1916,고생,명,명사,名詞,苦生,B,苦労
3065,고생하다,동,동사,動詞,苦生-,B,苦労する
8307,고소하다,형,형용사,形容詞,맛이 ~,C,香ばしい
6178,고속,명,명사,名詞,高速,B,高速
5176,고속도로,명,명사,名詞,高速道路,B,高速道路
11580,고속버스,명,명사,名詞,高速bus,B,高速バス
1987,고양이,명,명사,名詞,,A,猫
3851,고요하다,형,형용사,形容詞,,C,静かだ
3175,고작,부,부사,副詞,,C,"せいぜい,たかが
"
1480,고장,명,명사,名詞,"지역, 故障",B,"地元, 地方"
2733,고전,명,명사,名詞,古典,C,古典
5316,고집,명,명사,名詞,固執,C,"意地, 強情"
3969,고집하다,동,동사,動詞,固執-,C,"意地を張る, 強情を張る"
2126,고추,명,명사,名詞,,B,唐辛子
6014,고추장,명,명사,名詞,-醬,B,コチュジャン
9916,고춧가루,명,명사,名詞,,B,唐辛子の粉
1503,고치다,동,동사,動詞,,B,直す
986,고통,명,명사,名詞,苦痛,B,苦痛
3674,고통스럽다,형,형용사,形容詞,苦痛-,C,苦しい
5860,고프다,형,형용사,形容詞,,A,"空く, 減る"
4181,고함,명,명사,名詞,高喊,C,"大声, 叫び声, 叫び, 悲鳴"
593,고향,명,명사,名詞,故鄕,A,"故郷, 郷里, 国"
3459,곡,명,명사,名詞,曲,C,曲
3460,곡식,명,명사,名詞,穀食,C,"穀物, 穀類"
3675,곤란하다,형,형용사,形容詞,困難-,C,困難だ
307,곧,부,부사,副詞,,A,直ちに
6180,곧다,형,형용사,形容詞,,C,真っ直ぐだ
3215,곧바로,부,부사,副詞,,B,直ちに
9044,곧이어,부,부사,副詞,,C,引き続き
3970,곧잘,부,부사,副詞,,C,"かなり,なかなか
"
4767,곧장,부,부사,副詞,,C,真っすぐ
1083,골,명,명사,名詞,goal,C,ゴール
4258,골고루,부,부사,副詞,,C,均等に
2821,골목,명,명사,名詞,,B,"路地, 横町・横丁"
7448,골목길,명,명사,名詞,,B,路地
3971,골짜기,명,명사,名詞,,C,"谷, 谷間, 渓谷"
6181,골치,명,명사,名詞,,C,頭
5717,골프,명,명사,名詞,golf,B,ゴルフ
6015,골프장,명,명사,名詞,golf場,B,ゴルフ場
4671,곰,명,명사,名詞,동물,B,熊
1326,곱다,형,형용사,形容詞,아름답다,B,小綺麗だ
116,곳,명,명사,名詞,,A,所
2589,곳곳,명,명사,名詞,,B,"所々, 随所"
988,공,명,명사,名詞,축구~,A,球
623,공간,명,명사,名詞,空間,B,空間
1338,공개,명,명사,名詞,公開,C,公開
2703,공개하다,동,동사,動詞,公開-,C,公開する
1988,공격,명,명사,名詞,攻擊,C,攻撃
4182,공격하다,동,동사,動詞,攻擊-,C,"攻撃する, 攻める"
4114,공공,명,명사,名詞,公共,C,公共
4043,공군,명,명사,名詞,空軍,C,空軍
1772,공급,명,명사,名詞,供給,C,供給
1433,공기,명,명사,名詞,"空氣, 空器",B,"石子, 石投げ"
953,공동,명,명사,名詞,共同,B,共同
1865,공무원,명,명사,名詞,公務員,B,公務員
490,공부,명,명사,名詞,工夫,A,"勉強, 勉学, 学習"
807,공부하다,동,동사,動詞,工夫-,A,"勉強する, 勉学する, 学習する"
1374,공사,명,명사,名詞,工事,B,工事
2462,공식,명,명사,名詞,公式,C,公式
4325,공식적,명,명사,名詞,公式的,C,公式的
1084,공업,명,명사,名詞,工業,C,工業
1067,공연,명,명사,名詞,公演,B,公演
9462,공연되다,동,동사,動詞,公演-,C,"公演される, 上演される, 実演される"
4864,공연장,명,명사,名詞,公演場,C,公演場
10400,공연하다,동,동사,動詞,公演-,C,"公演する, 上演する, 実演する"
6017,공연히,부,부사,副詞,空然-,C,"なんとなく,わけもなく
"
2950,공원,명,명사,名詞,公園,A,公園
685,공장,명,명사,名詞,工場,B,工場
8313,공주,명,명사,名詞,公主,C,姫
3676,공중,명,명사,名詞,空中,C,公衆
8672,공중전화,명,명사,名詞,公衆電話,A,公衆電話
6540,공짜,명,명사,名詞,空-,B,"只, 無料"
5179,공책,명,명사,名詞,空冊,A,"ノート,ノートブック"
8673,공통,명,명사,名詞,共通,C,共通
6541,공통되다,동,동사,動詞,共通-,C,共通する
6362,공통적,명,명사,名詞,共通的,C,共通的
7696,공통점,명,명사,名詞,共通點,C,共通点
2152,공포,명,명사,名詞,恐怖,C,恐怖
2433,공항,명,명사,名詞,空港,A,空港
20070,공항버스,명,명사,名詞,空港bus,B,空港バス
3677,공해,명,명사,名詞,公害,C,公害
9466,공휴일,명,명사,名詞,公休日,A,公休日
996,과,명,명사,名詞,"科, 課",A,課
549,과거,명,명사,名詞,"科擧, 過去",B,過去
2704,과목,명,명사,名詞,科目,B,科目・課目
865,과연,부,부사,副詞,果然,C,"さすがに
"
7701,과외,명,명사,名詞,課外,C,課外
1491,과일,명,명사,名詞,,A,果物
4402,과자,명,명사,名詞,菓子,A,菓子
2351,과장,명,명사,名詞,課長,B,科長
188,과정,명,명사,名詞,"過程, 課程",C,過程
1259,과제,명,명사,名詞,課題,B,課題
346,과학,명,명사,名詞,科學,B,科学
1718,과학자,명,명사,名詞,科學者,B,科学者
2734,과학적,명,명사,名詞,科學的,B,科学的
1814,관객,명,명사,名詞,觀客,B,"観客, 観衆"
152,관계,명,명사,名詞,關係,B,関係
3791,관계되다,동,동사,動詞,關係-,C,"関係する, 関わる・係わる"
5077,관계없이,부,부사,副詞,關係-,C,"関係なく, 問わずに"
967,관계자,명,명사,名詞,關係者,C,関係者
1719,관광,명,명사,名詞,觀光,B,観光
3730,관광객,명,명사,名詞,觀光客,B,観光客
20077,관광버스,명,명사,名詞,觀光bus,C,観光バス
7182,관광지,명,명사,名詞,觀光地,B,観光地
2189,관념,명,명사,名詞,觀念,C,観念
9923,관람,명,명사,名詞,觀覽,C,観覧
7453,관람객,명,명사,名詞,觀覽客,C,観覧客
420,관련,명,명사,名詞,關聯,B,関連
1288,관련되다,동,동사,動詞,關聯-,B,関連する
1481,관련하다,동,동사,動詞,關聯-,B,関連する
858,관리,명,명사,名詞,"官吏, 管理",B,管理
3909,관리하다,동,동사,動詞,管理-,C,管理する
3566,관습,명,명사,名詞,慣習,C,慣習
312,관심,명,명사,名詞,關心,B,"関心, 関心事, 興味"
5720,관심사,명,명사,名詞,關心事,C,関心事
839,관점,명,명사,名詞,觀點,C,観点
3216,관찰,명,명사,名詞,觀察,C,観察
2070,관찰하다,동,동사,動詞,觀察-,B,観察する
301,관하다,동,동사,動詞,關-,B,関する
3567,광경,명,명사,名詞,光景,C,光景
316,광고,명,명사,名詞,廣告,B,広告
3392,광장,명,명사,名詞,廣場,C,広場
,광주,고,고유 명사,固有名詞,光州,B,光州
813,괜찮다,형,형용사,形容詞,,A,なかなかいい
2071,괜히,부,부사,副詞,,B,理由もなく
3910,괴로움,명,명사,名詞,,C,"苦しみ, 苦痛"
9474,괴로워하다,동,동사,動詞,,C,苦しむ
3516,괴롭다,형,형용사,形容詞,,B,"辛い, 苦しい"
4489,괴롭히다,동,동사,動詞,,C,苦しめる
9052,굉장하다,형,형용사,形容詞,宏壯-,C,"凄い, 物凄い"
2190,굉장히,부,부사,副詞,宏壯-,B,"すごく,ものすごく
"
2887,교과서,명,명사,名詞,敎科書,A,教科書
7703,교내,명,명사,名詞,校內,C,校内
5582,교대,명,명사,名詞,交代,C,交代
2402,교류,명,명사,名詞,交流,B,交流
6961,교문,명,명사,名詞,校門,B,校門
7185,교복,명,명사,名詞,校服,C,校服
474,교사,명,명사,名詞,敎師,C,教師
371,교수,명,명사,名詞,敎授,A,教授
9475,교시,의,의존 명사,依存名詞,校時,C,"時間, 時間目"
1339,교실,명,명사,名詞,敎室,A,教室
4115,교양,명,명사,名詞,敎養,C,教養
9930,교외,명,명사,名詞,郊外,C,郊外
198,교육,명,명사,名詞,敎育,B,教育
9931,교육비,명,명사,名詞,敎育費,C,教育費
6363,교육자,명,명사,名詞,敎育者,C,教育者
1103,교장,명,명사,名詞,校長,C,校長
6364,교재,명,명사,名詞,敎材,C,教材
4769,교직,명,명사,名詞,敎職,C,教職
4403,교체,명,명사,名詞,交替,C,交替・交代
1249,교통,명,명사,名詞,交通,A,交通
3517,교통사고,명,명사,名詞,交通事故,B,交通事故
7186,교포,명,명사,名詞,僑胞,B,僑胞
3107,교환,명,명사,名詞,交換,B,交換
4582,교환하다,동,동사,動詞,交換-,C,交換する
1708,교회,명,명사,名詞,敎會,A,教会
3973,교훈,명,명사,名詞,敎訓,C,校訓
7705,구,"수, 명","수사, 명사","数詞, 名詞","九, 區",A,句
2705,구경,명,명사,名詞,,A,見物
3176,구경하다,동,동사,動詞,,B,見物する
3217,구두,명,명사,名詞,,A,靴
3974,구르다,동,동사,動詞,바위가 ~,C,転がる
2493,구름,명,명사,名詞,,A,雲
2055,구멍,명,명사,名詞,,B,穴
4490,구별,명,명사,名詞,區別,C,区別
5722,구별되다,동,동사,動詞,區別-,C,区別される
3731,구별하다,동,동사,動詞,區別-,C,区別する
2590,구분,명,명사,名詞,區分,C,区分
5181,구분되다,동,동사,動詞,區分-,C,区分される
