word,pos,meaning,definition,target_code
가망성,명사,"みこみ【見込み】。あて【当て】。しょうらいせい【将来性】　
",望む通りになる可能性と希望がある状態やその度合い。,15380
가맹점,명사,かめいてん【加盟店】,"顧客に特定のサービスを提供するために、ある組織に加入した店。
",14885
가면극,명사,かめんげき【仮面劇】,"仮面をかぶって行う演劇。
",14888
가뭄,명사,"かんばつ【干ばつ】。ひでり【日照り】
","長期間、雨が降らない現象。
",15306
가발,명사,かつら,"本物の髪の毛のように作って、頭にかぶったりつける偽の髪の毛。
",14954
가사,명사,かし【歌詞】,歌曲や歌謡曲などの音楽につけて歌う言葉。,15399
가솔린,명사,ガソリン。きはつゆ【揮発油】,石油から抽出した、自動車や飛行機などの燃料に使う液体。,14637
가스,명사,ガス,気体状態の物質。,63792
가스관,명사,ガスかん【ガス管】,"ガスが通るように作った管。
",14638
가스레인지,명사,ガスレンジ,ガスを燃料に用いて、食品を温めたり煮たりするのに使う調理器具。,14639
가스보일러,명사,ガスボイラー,"ガスを燃料として使う暖房器具。
",14640
가스 요금,,ガスりょうきん【ガス料金】	,"ガスを使用した料金として払う金銭。
",14643
가스 중독,,ガスちゅうどく【ガス中毒】	,"有毒ガスの吸入によって命が危うくなるか身体に異常が生じること。
",14644
가스총,명사,ガスじゅう【ガス銃】,ガス弾を発射する銃。,14656
가스통,명사,"ガスようき【ガス容器】。ガスボンベ
","ガスを貯蔵する缶。
",14658
가슴둘레,명사,バスト。きょうい【胸囲】,"胸の最も太い部分の回りを計った長さ。
",14660
가슴살,명사,むねにく【胸肉】。ささみ【笹身】,胸部分の肉。,14661
가슴속,명사,しんちゅう【心中】。きょうちゅう【胸中】,心の奥底。,14662
가습,명사,かしつ【加湿】,室内の空気が乾燥した際に湿気を補うこと。,601290
가습기,명사,かしつき【加湿器】,"水蒸気を出して部屋の中の湿度を調節する器具。
",14667
가십,명사,ゴシップ。うわさ【噂】,個人的な事情についてのうわさや悪口などを扱った興味本位の記事、またはその話。,16282
가십거리,명사,ゴシップのたね【ゴシップの種】,"人々の間で、軽く話題になりうるようなことや事件。
",90232
가업,명사,かぎょう【家業】,代々その家に伝わってきた事業。,16284
가오리,명사,エイ【鱏・ 鱝・海鷂魚】,胴体は扁平で、ひし形をし、尾は細長い海水魚。,16324
가요제,명사,かようさい【歌謡祭】,複数の人が歌を歌って歌唱力を競う大会。,16335
가운,명사,ガウン,卒業式や宗教儀式などの礼式や行事の時にまとう長いマント様式の上着。,16349
가위,명사,かなしばり【金縛り】,"就寝中、恐ろしい夢を見て、体を自由に動かせない息苦しい状態。
",16339
가위질,명사,はさみをいれること【はさみを入れること】,はさみで切ったり、切り取ること。,16348
가위표,명사,ばつ。ペケ,"間違ったものを表すために使うはさみ模様の表示。
",16355
가을걷이,명사,あきおさめ【秋収め】。あきのとりいれ【秋の取り入れ】。しゅうしゅう【秋収】,秋に水田と畑で、よく実った穀物や農作物などを取り入れること。,25722
가을걷이하다,동사,あきおさめする【秋収めする】。あきのとりいれをする【秋の取り入れをする】。しゅうしゅうする【秋収する】,秋に水田と畑で、よく実った穀物や農作物などを取り入れる。,16356
가을맞이,명사,あきむかえ【秋迎え】,秋を迎えること。,42195
가을볕,명사,あきのひざし【秋の日差し】。あきのたいよう【秋の太陽】,秋に降り注ぐ日光。,16352
가을철,명사,あき【秋】。しゅうき【秋季】。あきば【秋場】,秋の季節。秋のころ。,16376
가이드라인,명사,ガイドライン。ししん【指針】,ある事柄や政策、またはマスコミ報道に対する基準となる指針。,25725
가입,명사,かにゅう【加入】,団体の仲間に加わったり、商品やサービスを受けるために契約を結ぶこと。,15393
가입되다,동사,かにゅうする【加入する】,団体の仲間に加わったり、商品やサービスを受けるために契約を結ぶことになる。,16362
가입비,명사,かにゅうひ【加入費】,団体の仲間に加わったり、または商品やサービスを受けるため、契約を結ぶ際に支払うお金。,16358
가입서,명사,かにゅうしょ【加入書】。もうしこみしょ【申込書】,団体に加入したり、または商品やサービスを受けるため、契約を結ぶ際に作成する書類。,16361
가입자,명사,かにゅうしゃ【加入者】,団体や組織に入ったり、商品およびサービス契約をした人。,15398
가입하다,동사,"かにゅうする【加入する】
",団体の仲間に加わったり、商品やサービスを受けるために契約を結ぶ。,15392
가장,명사,よそおい【装い】,偽りの態度を取ること。,92466
가장하다,동사,よそおう【装う】,態度を偽る。,16377
가장행렬,명사,かそうぎょうれつ【仮装行列】。ページェント,"運動会や祭りなどで、大勢の人が様々な姿に装って列を作っていくこと。また、その行列。
",16372
가전제품,명사,かでんせいひん【家電製品】,家庭で使う電気器具。,25830
가정,명사,かてい【家庭】,一家からなる共同体や彼らが生活する家。,59900
개고생,명사,くきょう【苦境】。くなん【苦難】。くろう【苦労】,非常に厳しくてきつい苦労をすること。,22829
개교,명사,"かいこう【開校】
",学校を新設して運営を始めること。,23121
개교기념일,명사,かいこうきねんび【開校記念日】,毎年開校した日と同じ日に、学校を建てたことを記念する日。,23751
개교식,명사,かいこうしき【開校式】,学校を初めて建てた日を祝う行事。,23731
개교하다,동사,かいこうする【開校する】,学校を新設して運営を始める。また、学校が新設されて運営が始まる。,23698
개구리,명사,"かえる・かわず【蛙】
","水田や河川などに住み、4本の足の指に水かきがあって泳ぎが上手で、後ろ足が長くて走りが上手で、鳴のうを膨らませて鳴く動物。

",64364
개구리헤엄,명사,かえるおよぎ【蛙泳ぎ】。ひらおよぎ【平泳ぎ】,蛙が泳ぐように体を下向きにして両手で水を掻き分け、同時にちぢめた両足を開閉する泳法。,23727
개구멍,명사,いぬくぐり【犬潜り】,塀や垣根、大門などの下の方に犬が出入りできるほどの大きさで設けられている小さい穴。,23118
개구쟁이,명사,わんぱく【腕白】。がき。いたずらっこ【悪戯っ子】,悪戯がひどくて意地悪い子。,23753
개국,의존 명사,かこく【ヶ国】,国を数える単位。,64518
개그맨,명사,"ギャグマン
",演劇やテレビ番組などで、滑稽な言葉や行動で人を笑わせる人。,23756
개그우먼,명사,"ギャグウーマン
",演劇やテレビ番組などで、滑稽な言葉や行動で人を笑わせる女の人。,23081
개꿈,명사,,特別な意味もなく、つまらなくてまとまりのない夢。,23765
개나리,명사,レンギョウ,"早春に葉が出てくる前に、垂れ下がった長い枝に黄色い花が鈴なりについている木。また、その花。
",64519
개나리꽃,명사,れんぎょうのはな【れんぎょうの花】,早春、長く伸びた枝に咲く黄色い花。,23077
개념,명사,がいねん【概念】。コンセプト,"ある事実や観念、物事に対する多くて具体的な例や特性を通じて得た一般的な知識や考え。
",23768
개다,동사,はれる【晴れる】,雪、雨、霧などが消えてなくなって、曇っていた天気が良くなる。,15732
개다,동사,たたむ【畳む】,服や布団などをきちんと折り返して重ねる。,23416
개똥,명사,"いぬのくそ【犬の糞】
","犬のフン。
",23427
개미,명사,"あり【蟻】
","主に這って移動し、地中に穴を掘って集団生活をする、小さくて胴体が細い昆虫。
",15737
개미허리,명사,ほそごし【細腰】,（比喩的に）とても細い腰。 ,23457
개발,명사,"かいはつ【開発】
","土地や天然資源などを利用しやすくしたり、役立つようにすること。
",23460
개발되다,동사,かいはつされる【開発される】,"土地や天然資源などが利用しやすくなったり、役立つようになったりする。
",15747
개발비,명사,かいはつひ【開発費】,新しい技術の導入、経営組織の改善、市場の開拓などにかかる費用。,23463
개발하다,동사,かいはつする【開発する】,"土地や天然資源などを利用しやすくしたり、役立つようにしたりする。
",62257
개밥,명사,"いぬのめし【犬の飯】
","犬の飯。犬の餌。
",23464
개방,명사,かいほう【開放】,自由に行き来するか、利用できるように開け放しておくこと。,15753
개방되다,동사,かいほうされる【開放される】,自由に行き来するか、利用できるように開け放される。 ,15755
개방하다,동사,かいほうする【開放する】,自由に行き来するか、利用できるように開け放す。 ,15761
개별,명사,"こべつ【個別】
",一つずつ別々になっている状態。,15770
개봉관,명사,ふうきりかん【封切り館】。いちばんかん【一番館】。えいがかん【映画館】,"新しく作ったり、新しく入ってきた映画だけを上映する映画館。
",23516
개봉작,명사,こうかいさく【公開作】。こうかいえいが【公開映画】。ふうぎりさく【封切作】。ふうぎりえいが【封切映画】,新しく制作されて上映される映画。,23523
개비,명사,,均一に細くて短く作った物。,23528
개선,명사,かいぜん【改善】,足りないところや間違っているところ、悪いところを改めてよくすること。,15780
개선되다,동사,かいぜんされる【改善される】 ,足りないところや間違っているところ、悪いところが改まって良くなる。,15784
개선하다,동사,かいぜんする【改善する】 ,足りないところや間違っているところ、悪いところを改めて良くする。,15787
개성,명사,こせい【個性】,"他のものと区別されるそのもの特有の特性。
",15788
개성적,명사,こせいてき【個性的】,他と比較して異なる特性を持っていること。,26570
개성적,관형사,こせいてき【個性的】 ,他と比較して異なる特性を持っているさま。,26569
개업의,명사,かいぎょうい【開業医】,個人的に病院を開いて運営する医者。,26663
개울,명사,おがわ【小川】。たにがわ【谷川】,谷間や野原に流れる川。,26674
개울가,명사,おがわのほとり【小川の辺】,"谷間や野原に流れる川のほとり。
",26677
개울물,명사,おがわのみず【小川の水】,谷間や野原に流れる川の水。,26678
개원,명사,かいいん【開院】,病院、塾などの機関を新たにオープンして、仕事に取り掛かること。,26679
개원하다,동사,かいいんする【開院する】,病院、塾などの機関を新たにオープンして、仕事に取り掛かる。 ,26681
개인,명사,こじん【個人】,"ある団体や組織を成す一人一人。
",60089
개인기,명사,こじんぎ【個人技】,主に団体競技のスポーツで選手一人が保有している特別な技。,26685
개인적,명사,こじんてき【個人的】,個人が持っていること。また、個人と関係していること。,26691
개인적,관형사,こじんてき【個人的】 ,個人が持っているさま。また、個人と関係しているさま。 ,26690
개인전,명사,こてん【個展】。こじんてんらんかい【個人展覧会】,個人の作品だけを集めて開く展覧会。,26692
개인전,명사,こじんせん【個人戦】,個人同士で勝負を決めるスポーツ競技。,26693
개인차,명사,こじんさ【個人差】,個人の能力や特性の差。,26695
개인택시,명사,こじんタクシー【個人タクシー】,個人が運営するタクシー。,26696
개인플레이,명사,こじんプレー【個人プレー】,団体行動から一人だけ抜けたり、自分勝手に別行動をとること。,18518
개인행동,명사,こじんこうどう【個人行動】,個人が団体から離れて一人で行う行動。,18519
개인 회사,,こじんがいしゃ【個人会社】	,"個人一人が資本や株式のすべてまたは殆どを所有している会社。
",18521
개집,명사,いぬごや【犬小屋】,犬が住む小さい家。,18634
개최,명사,かいさい【開催】,集会や行事、試合などを組織的に計画して開くこと。,18684
개최국,명사,かいさいこく【開催国】,集会や行事、試合などを組織的に計画して開く国。,18685
개최되다,동사,かいさいされる【開催される】,集会や行事、試合などが組織的に計画されて開かれる。 ,18687
개최하다,동사,かいさいする【開催する】,集会や行事、試合などを組織的に計画して開く。,18693
개털,명사,,"犬の毛。
",18721
개학,명사,しぎょう【始業】,学校で休みや休校などの理由でしばらく休んでいた授業を再び始めること。,23676
개학 날,,しぎょうび【始業日】	,"学校の休みが明けて授業が再開する日。
",23690
개학하다,동사,しぎょうする【始業する】,学校で休みや休校などの理由でしばらく休んでいた授業を再び始める。 ,23709
개헤엄,명사,いぬかき【犬掻き】。いぬおよぎ【犬泳ぎ】,犬が泳ぐように手を前に差し伸べて手のひらで水を掻きながらばた足をする泳法。,23903
개혁,명사,かいかく【改革】。かくしん【革新】,"不合理な制度や機構などを新しく改めること。
",23905
개혁되다,동사,かいかくされる【改革される】。かくしんされる【革新される】,不合理な制度や機構などが新しく改まる。,23913
개혁하다,동사,かいかくする【改革する】。かくしんする【革新する】,不合理な制度や機構などを新しく改める。,24621
갸름하다,형용사,ほそながめだ【細長めだ】,"やや細くて長めである。

",21242
걔,품사 없음,あいつ。あのこ【あの子】。そいつ。【その子】	,"｢그 아이｣の縮約形。
",64369
거,대명사,それ	,"聞き手の近くにあるか聞き手が考えている物事をさす語。
",66342
거꾸로,부사,"ぎゃくに【逆に】
","順序、方向、位置が反対になるように。
",15804
거대,명사,"きょだい【巨大】
",ものすごく大きいこと。,26384
거대하다,형용사,きょだいだ【巨大だ】,"ものすごく大きい。
",15810
거들다,동사,てつだう【手伝う】。てだすけする【手助けする】,他人の仕事に手を貸す。,15815
거래,명사,とりひき【取引】,お金や物を取り交わしたり、売り買いすること。,26752
거래되다,동사,とりひきされる【取引される】,物が売り買いされる。,26755
거래처,명사,とりひきさき【取引先】,持続的にお金や商品などを売買する相手側。,26764
거래하다,동사,とりひきする【取引する】,お金や物を取り交わしたり、売り買いしたりする。,26766
거리감,명사,きょりかん【距離感】,ある対象と一定距離に離れていると感じる感情や感覚。 ,26800
거리거리,명사,まちまち【街街】,色々な街。街ごと。,26803
거미,명사,クモ,"体からねばねばとした紐を引いて綱をかけて虫を食って生きる小さな動物。
",27264
거미줄,명사,"くものいと【蜘蛛の糸】。くものす【蜘蛛の巣】
","クモが体から出す細い糸。また、その糸で作った網。
",27268
거봐,감탄사,それみろ。それごらん,物事が自分の言った通りになったことを確認した時にいう語。,27271
거북,명사,カメ【亀】,体は平べったい楕円形で、首が短く、背中と腹に硬い殻があり、頭や尾、四本の足をその中に縮めて入れることの出来る動物。,27289
거북이,명사,カメ【亀】,体は平べったい楕円形で、首が短く、背中と腹に硬い殻があり、頭や尾、四本の足をその中に縮めて入れることの出来る動物。,27303
거스름돈,명사,おつり【お釣り】。つりせん【釣り銭】。おかえし【お返し】,"支払うべき金を差し引いた後、戻されたり、受け取る金銭。
",27342
거장,명사,きょしょう【巨匠】。たいか【大家】,特定の分野で能力や実力が優れている人。,20456
거절당하다,동사,きょぜつされる【拒絶される】。きょひされる【拒否される】。ことわられる【断られる】。えんりょされる【遠慮される】 ,頼みや提案、贈り物などが受け入れられない。 ,20473
거지,명사,"こじき【乞食】。ものもらい【物貰い】。ものごい【物乞い】
","他人から金銭や食物を恵んでもらって生活する人。
",20530
거지꼴,명사,こじきすがた【乞食姿】,乞食のようにみすぼらしくて汚い服装や姿。,20531
거짓,명사,うそ【嘘】。いつわり【偽り】,事実でないことを事実のように偽ったもの。,53838
거짓되다,형용사,いつわりだ【偽りだ】,"事実と違って真実ではない。

",20534
거짓말쟁이,명사,うそつき【嘘つき】,頻繁にうそをつく人。,20536
거치다,동사,じゃまになる【邪魔になる】,何かに引っかかったり遮られたりする。,15853
거칠다,형용사,あらい【荒い】,表面がきめ細かくないか、または、やわらかくない。,16551
거품,명사,あわ・あぶく【泡】。バブル,液体の中に空気が入って作られた中空の丸いもの。,15862
거품기,명사,"あわだてき【泡だて器】。ホイッパー
",卵やミルク、クリームなどをかき混ぜて泡立てたり混ぜ合わせる時に使う調理器具。,21595
게,명사,"かに【蟹】
","全身が硬い殻に包まれていて、足が10本あって横向きに歩行する動物。
",15940
게다가,부사,"さらに
","その上に。
",62261
게시,명사,けいじ【掲示】,多くの人に見てもらうために掲げて公開すること。,26957
게시되다,동사,けいじされる【掲示される】,多くの人に見てもらうために掲げられて公開される。,26963
게시물,명사,けいじぶつ【掲示物】,多くの人に見てもらうために掲げて公開した物や文。,600514
게시판,명사,けいじばん【掲示板】,お知らせを多くの人に知らせるために貼っておく板。,15943
게시하다,동사,けいじする【掲示する】,多くの人に見てもらうために掲げて公開する。,26968
게으름,명사,なまけ【怠け】。おこたり【怠り】。ぶしょう【不精】。ものぐさ,身体を動かしたり仕事をするのを面倒くさがる態度や習慣。,28434
게으름뱅이,명사,なまけもの【怠け者】。ぶしょうもの【無精者】。ものぐさ,怠ける人を卑しめていう語。,28436
게이트,명사,"ゲート
","飛行機に乗るときの搭乗口。
",28440
겨,명사,"ぬか【糠】。こめぬか【米糠】
","稲、麦などの穀物をつくとき、剥がれ出る薄い皮。
",28454
겨드랑,명사,わき【脇】。わきのした【脇下】,肩からつながる両腕の付け根のすぐ下のくぼんだ所。,28459
겨우,부사,"やっと
","大変苦労して。
",62262
겨우겨우,부사,"やっと
","過度に大変で、苦労して。
",28467
겨울맞이,명사,ふゆたいさく【冬対策】。さむさたいさく【寒さ対策】,冬を迎える前に色々な準備をしておくこと。,28474
겨울새,명사,ふゆどり【冬鳥】,冬を韓国で過ごす渡り鳥。,28478
겨울용,명사,ふゆよう【冬用】,"特に冬に使うもの。
",28479
겨울잠,명사,とうみん【冬眠】。ふゆごもり【冬篭り】,冬季間を過ごすために動物が活動を停止して眠ること。,28482
겨울철,명사,とうき【冬季】,冬の季節。,28483
겨자,명사,からしな【芥子菜】,種が香料や薬として使われる、黄色い花の咲く植物。,15952
계곡,명사,けいこく【渓谷】。たにま【谷間】。けいかん【渓間・谿間】,水の流れる谷。,25645
계기,명사,"きっかけ。けいき【契機】。どうき【動機】
",物事が始まるか決まるようにする原因や機会。,15267
계란형,명사,たまごがた・たまごなり【卵形】。らんけい【卵形】,鶏の卵のように、やや細長い形。,25652
계모,명사,けいぼ・ままはは【継母】。ステップマザー,父が新しく結婚してできた母。,25702
계부,명사,けいふ・ままちち【継父】。ステップファザー,母が新しく結婚してできた父。,26227
계산기,명사,けいさんき【計算機・計算器】,計算を速く正確に行う時に使う機械。,26230
계산대,명사,カウンター。レジ。かんじょうだい【勘定台】,店や銀行で計算をするために備えておいた施設。,26231
계산법,명사,けいさんほう【計算法】,数を数える方法。,26233
계산서,명사,"かんじょうがき【勘定書き】。けいさんしょ【計算書】
",商品の代金を書いた紙。また、料金の詳しい内訳を書き記した紙。,26234
계산적,명사,"けいさんてき【計算的】
","数を数えるのに関すること。
",26236
계산적,관형사,けいさんてき【計算的】	,"数を数えるのに関するさま。
",26235
계산표,명사,けいさんひょう【計算表】,計算した内容を詳細に記した表。,17685
계속적,명사,けいぞくてき【継続的】。れんぞくてき【連続的】。じぞくてき【持続的】,絶えることなく続けていくこと。,17719
계속적,관형사,けいぞくてき【継続的】。れんぞくてき【連続的】。じぞくてき【持続的】	,"絶えることなく続けていくさま。
",17714
계약,명사,けいやく【契約】。やくそく【約束】。やくじょう【約定】。きょうやく【協約】,"金のやりとりをする取引でお互い守るべき義務や責任について文書に書いて約束をすること。 
",17755
계약금,명사,けいやくきん【契約金】,契約をする際に契約を守ることを約束し、予め支払う金。,17756
계약 기간,,けいやくきかん【契約期間】	,"契約内容が維持される期間。
",17758
계약서,명사,けいやくしょ【契約書】。やくじょうしょ【約定書】。コントラクト,"契約の内容を書き契約の成立を証明する文書。
",17759
계약자,명사,けいやくしゃ【契約者】,契約をした人。,17760
계약하다,동사,けいやくする【契約する】。やくそくする【約束する】。やくじょうする【約定する】。きょうやくする【協約する】,"金のやりとりをする取引でお互い守るべき義務や責任について文書に書いて約束をする。
",17764
계절병,명사,"きせつびょう【季節病】
",夏の食中毒、冬の風邪のように特定の季節に多発する病気。,22545
계절성,명사,きせつせい【季節性】,季節によって影響を受ける特性。,22548
계절적,명사,きせつてき【季節的】,季節によって影響を受けたり変化したりすること。,22549
계절적,관형사,"きせつてき【季節的】
","季節によって影響を受けたり変わったりするさま。
",15284
계좌,명사,"こうざ【口座】
",金融機関が顧客の貯蓄や貸し出し状況などを計算して記したもの。,22565
계층,명사,かいそう【階層】。かいきゅう【階級】,ひとつの社会で地位、職業、経済的水準などによって分類される集団。,23285
계피,명사,"けいひ【桂皮】。シナモン
",香料や韓方薬の材料として利用される、甘辛い香りがして赤みのある茶色のカシアの木の皮。,23312
계핏가루,명사,"けいひのこな【桂皮の粉】。シナモンパウダー
",シナモンの樹皮をはがしてパウダー状にしたもの。,23315
계획도,명사,"けいかくず【計画図】
",設計で製作図を作る時に使用する基礎的な図面。,23330
계획서,명사,"けいかくしょ【計画書】
",計画した内容を書いた文書。,23332
계획성,명사,"けいかくせい【計画性】
",計画を立ててそれに従って仕事を処理する性質。,23334
계획안,명사,"けいかくあん【計画案】
",計画についての枠組みや内容を盛り込んだ書類。また、その内容。,27959
계획자,명사,"けいかくしゃ【計画者】
",計画を立てる人。,27962
계획표,명사,"けいかくひょう【計画表】。プラン
",これからするべき事や方法を前もって決めて書いた表。,27967
고-,접사,こ・ふる【古】	,"「古い」または「古びた」という意を付加する接頭辞。
",72361
고-,접사,こう【高】	,"「高い」または「立派な」という意を付加する接頭辞。
",72362
고,관형사,こ【故】 	,"すでに死亡しているさま。
",83286
고객,명사,"こきゃく【顧客】
",商品を買ったりサービスを利用する人。,28003
고교,명사,こうこう【高校】,中学校を卒業したり、中学校を卒業した水準の学力を備えていれば入学できる学校。,28053
고국,명사,ここく【故国】。そこく【祖国】。ぼこく【母国】,"他の国に行っている人が言う「自分の国」。
",28060
고궁,명사,"ふるみや【古宮】。こきゅう【故宮】
",昔、王様が住んでいた宮殿。,28065
고급,명사,こうきゅう【高級】,物件や施設などの品質が優れていて、値段が高いこと。,28073
고급반,명사,"こうきゅうはん【高級班】。じょうきゅうはん【上級班】
",学校や塾などで編成したクラスの中で最もレベルの高いクラス。,28074
고급스럽다,형용사,こうきゅうだ【高級だ】,"物の質が優れていて、品が高い。

",28075
고급품,명사,"こうきゅうひん【高級品】
",品質が優れていたり、他の製品に比べて高い商品。,28076
고급화,명사,"こうきゅうか【高級化】
","品物や施設などの品質が優秀な状態。また、その状態に作ること。
",28079
고기능,명사,"こうきのう【高機能】
",技術の面で高度な優れた機能や性能。,28081
고기밥,명사,"え・えさ【餌】
","魚が食べる物。
",28082
고기잡이배,명사,"ぎょせん【漁船】
",漁業のために乗る船。,28087
고깃덩어리,명사,肉のかたまり。にくかい【肉塊】,大きく切られている獣の肉。,28091
고깃덩이,명사,肉のかたまり。にくかい【肉塊】,小さい塊で切られている獣の肉。,28093
고깃배,명사,"ぎょせん【漁船】
",漁業に用いられる船。,27957
고깃집,명사,"にくや【肉屋】
",肉を料理して商売をする飲食店。,25079
고깔,명사,さんかくぼうし【三角帽子】,僧侶や巫女、または能楽隊の人が被る、上の部分が尖っている山形の白い頭巾。,25093
고단백,명사,"こうたんぱく【高たんぱく】
",たんぱく質を多く含んでいること。,25400
고단백질,명사,"こうたんぱく質【高たんぱく質】
",たんぱく質を多く含んでいること。,25417
고대,명사,こだい【古代】,原始時代と中世の間の非常に遠い昔。,25534
고대 문명,,こだいぶんめい【古代文明】	,"原始時代と中世時代の間の先史時代に存在したとされる大昔の文明。
",25560
고독,명사,"こどく【孤独】
",世の中に一人ぼっちになったかのように寂しいこと。,25603
고독하다,형용사,こどくだ【孤独だ】,世の中で一人ぼっちになったように寂しい。,23338
고드름,명사,"つらら【氷柱・氷】。たるひ【垂氷】
",水のしずくが凍って、軒下などに棒状に垂れ下がったもの。,23360
고들빼기,명사,イヌヤクシソウ,幹は紫色で黄色い花を咲かせ、葉と根でキムチを漬けたりナムルを作ったりして食べる植物。,23363
고등,명사,"こうとう【高等】
",相対的に高い等級や水準。,23365
고등어,명사,"さば【鯖】
",背中は青く黒色の縞模様があって腹部は白い、肉が多い海水魚。,23373
