번호,순위,단어,단어번호,품사,품사 이름,품사 (일본어),풀이（意味）,등급
64,70,먹다,"01, 02","동, 보","동사, 보조 용언","動詞, 補助用言","귀를 ~, 밥을 ~, 잊어 ~",A
65,72,자신,"01, 02",명,명사,名詞,"自身, 自信",B
66,73,문화,01,명,명사,名詞,文化,B
67,74,원,"01, 02, 12","의, 감, 명","의존 명사, 감탄사, 명사","依存名詞, 感嘆詞, 名詞","화폐 단위, 圓. ~을 그리다",A
68,75,생각,01,명,명사,名詞,,A
69,76,어떻다,,형,형용사,形容詞,,A
70,77,명,03,의,의존 명사,依存名詞,名. 한 ~,A
71,78,통하다,,동,동사,動詞,通-,B
72,79,그러다,,동,동사,動詞,,C
73,80,소리,01,명,명사,名詞,,B
74,81,다시,01,부,부사,副詞,,A
75,82,다른,,관,관형사,冠形詞,,A
76,83,이런,01,관,관형사,冠形詞,,A
77,84,여자,02,명,명사,名詞,女子,A
78,85,개,"03, 10","명, 의","명사, 의존 명사","名詞, 依存名詞","동물, 個",A
79,86,정도,11,명,명사,名詞,程度,B
80,87,뒤,01,명,명사,名詞,,A
81,88,듣다,01,동,동사,動詞,소리를 ~,A
82,89,다,03,"부, 명","부사, 명사","副詞, 名詞",,A
83,90,좀,02,부,부사,副詞,조금,A
84,91,들다,"01, 04","동, 보","동사, 보조 용언","動詞, 補助用言","여관에 ~, 따지고 ~, 꽃을 ~",A
85,92,싶다,,보,보조 용언,補助用言,,A
86,93,보이다,"01, 02",동,동사,動詞,"'보다'의 피동사, '보다'의 사동사",B
87,94,가지다,,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
88,95,함께,,부,부사,副詞,,A
89,96,아이,"01, 02","명, 감","명사, 감탄사","名詞, 感嘆詞",,A
90,97,지나다,,동,동사,動詞,,B
91,98,많이,,부,부사,副詞,,A
92,99,시간,04,"명, 의","명사, 의존 명사","名詞, 依存名詞",時間,A
93,100,너,01,대,대명사,代名詞,,A
94,102,인간,01,명,명사,名詞,人間,B
95,103,사실,04,"명, 부","명사, 부사","名詞, 副詞",事實,B
96,104,나다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
97,105,이렇다,,형,형용사,形容詞,,A
98,106,어머니,01,명,명사,名詞,,A
99,107,눈,"01, 04",명,명사,名詞,"신체의 일부, ~이 내리다",A
100,108,뭐,,"대, 감","대명사, 감탄사","代名詞, 感嘆詞",,A
101,109,점,10,"명, 의","명사, 의존 명사","名詞, 依存名詞",點,B
102,110,의하다,01,동,동사,動詞,依-,B
103,111,시대,02,명,명사,名詞,時代,B
104,112,다음,01,명,명사,名詞,,A
105,113,이러하다,,형,형용사,形容詞,,B
106,114,누구,,대,대명사,代名詞,,A
107,115,전,"07, 08","관, 명","관형사, 명사","冠形詞, 名詞","全. ~ 국민, 前",A
108,116,곳,01,명,명사,名詞,,A
109,117,여러,,관,관형사,冠形詞,,A
110,119,하나,,"수, 명","수사, 명사","数詞, 名詞",,A
111,120,세계,02,명,명사,名詞,世界,B
112,121,버리다,01,"보, 동","보조 용언, 동사","補助用言, 動詞",,A
113,122,위,"01, 05, 06","명, 의","명사, 의존 명사","名詞, 依存名詞","~아래, 位, 胃",A
114,123,운동,02,명,명사,名詞,運動,A
115,124,퍼센트,,의,의존 명사,依存名詞,percent,A
116,125,학교,,명,명사,名詞,學校,A
117,126,자기,04,"대, 명","대명사, 명사","代名詞, 名詞",自己,B
118,127,가장,"01, 07","부, 명","부사, 명사","副詞, 名詞",家長,A
119,128,대통령,,명,명사,名詞,大統領,B
120,129,가지,"01, 04","명, 의","명사, 의존 명사","名詞, 依存名詞","~를 치다, 한 ~",B
121,131,시작하다,01,동,동사,動詞,始作-,A
122,132,바로,02,부,부사,副詞,,A
123,133,어느,01,관,관형사,冠形詞,,A
124,134,그래서,,"부, 불","부사, 분석 불능","副詞, 分析不能",그리하여서,A
125,135,무엇,,대,대명사,代名詞,,A
126,136,정부,08,명,명사,名詞,政府,C
127,137,모든,,관,관형사,冠形詞,,A
128,138,번,04,의,의존 명사,依存名詞,番,A
129,139,그거,,대,대명사,代名詞,,A
130,140,돈,01,명,명사,名詞,,A
131,141,국가,01,명,명사,名詞,國家,B
132,142,그런데,,부,부사,副詞,,A
133,143,날,01,명,명사,名詞,어느 ~,A
134,144,여기,01,대,대명사,代名詞,,A
135,145,모두,01,"부, 명","부사, 명사","副詞, 名詞",,A
136,146,여성,01,명,명사,名詞,女性,B
137,147,친구,02,명,명사,名詞,親舊,A
138,148,마음,01,명,명사,名詞,,A
139,149,후,08,명,명사,名詞,後,A
140,151,놓다,01,"보, 동","보조 용언, 동사","補助用言, 動詞",,A
141,152,관계,05,명,명사,名詞,關係,B
142,153,아버지,,명,명사,名詞,,A
143,154,남자,02,명,명사,名詞,男子,A
144,155,어디,01,"대, 감","대명사, 감탄사","代名詞, 感嘆詞",,A
145,156,몸,01,명,명사,名詞,,A
146,157,얼굴,01,명,명사,名詞,,A
147,158,들어가다,01,동,동사,動詞,,A
148,159,왜,02,부,부사,副詞,,A
149,160,나타나다,,동,동사,動詞,,B
150,161,말다,"01, 03","동, 보","동사, 보조 용언","動詞, 補助用言","감다, 그만두다",A
151,162,지역,03,명,명사,名詞,地域,B
152,163,다르다,01,형,형용사,形容詞,,A
153,164,모습,01,명,명사,名詞,,B
154,165,물,01,명,명사,名詞,바닷~,A
155,166,만나다,,동,동사,動詞,,A
156,167,내다,02,"동, 보","동사, 보조 용언","動詞, 補助用言","길을 ~, 참아 ~",A
157,169,쓰다,"01, 02, 03, 06","동, 형","동사, 형용사","動詞, 形容詞","글씨를 ~, 모자를 ~, 약을 ~, 나물이 ~",A
158,170,이것,,대,대명사,代名詞,,A
159,171,없이,,부,부사,副詞,,B
160,172,이번,01,명,명사,名詞,-番,A
161,173,길,01,명,명사,名詞,도로,A
162,174,생활,,명,명사,名詞,生活,A
163,176,지금,03,"명, 부","명사, 부사","名詞, 副詞",只今,A
164,177,뿐,01,의,의존 명사,依存名詞,,B
165,178,사이,01,명,명사,名詞,,A
166,179,방법,,명,명사,名詞,方法,B
167,180,새롭다,,형,형용사,形容詞,,C
168,181,우리나라,,명,명사,名詞,,A
169,183,앉다,,동,동사,動詞,,A
170,184,처음,,명,명사,名詞,,A
171,185,손,01,명,명사,名詞,신체의 일부,A
172,186,몇,,"관, 수","관형사, 수사","冠形詞, 数詞",,A
173,187,그때,,명,명사,名詞,,A
174,188,과정,"03, 04",명,명사,名詞,"過程, 課程",C
175,189,삶,,명,명사,名詞,,C
176,190,갖다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",가지다,B
177,191,찾다,,동,동사,動詞,,A
178,192,특히,,부,부사,副詞,特-,B
179,193,시,"06, 10, 13","명, 의","명사, 의존 명사","名詞, 依存名詞","市, 時, 詩",A
180,194,이상,"05, 09, 12",명,명사,名詞,"以上, 理想, 異常",B
181,196,나가다,,"동, 보","동사, 보조 용언","動詞, 補助用言",,A
182,197,이야기,,명,명사,名詞,,A
183,198,교육,,명,명사,名詞,敎育,B
184,199,사다,,동,동사,動詞,,A
185,200,경제,04,명,명사,名詞,經濟,B
186,201,아직,01,부,부사,副詞,,A
187,202,잡다,01,동,동사,動詞,,A
188,203,같이,,부,부사,副詞,,A
189,204,선생님,,명,명사,名詞,先生-,A
190,205,예술,,명,명사,名詞,藝術,B
191,206,서다,01,동,동사,動詞,,A
192,207,못,"01, 04","명, 부","명사, 부사","名詞, 副詞",벽에 ~을 박다,A
193,208,역사,04,명,명사,名詞,歷史,A
194,209,읽다,,동,동사,動詞,,A
195,210,이제,01,"부, 명","부사, 명사","副詞, 名詞",,A
196,211,결과,02,명,명사,名詞,結果,B
197,212,내용,02,명,명사,名詞,內容,B
198,213,물론,01,"부, 명","부사, 명사","副詞, 名詞",勿論,A
199,214,동안,01,명,명사,名詞,시간의 길이,A
200,215,책,01,명,명사,名詞,冊,A
201,216,일어나다,,동,동사,動詞,,A
202,217,당신,02,대,대명사,代名詞,當身,B
203,218,시장,"03, 04",명,명사,名詞,"市長, 市場",A
204,219,넣다,,동,동사,動詞,,A
205,220,중요하다,02,형,형용사,形容詞,重要-,A
206,221,무슨,,관,관형사,冠形詞,,A
207,222,느끼다,02,동,동사,動詞,추위를 ~,B
208,223,어렵다,,형,형용사,形容詞,,A
209,224,힘,01,명,명사,名詞,,A
210,225,너무,01,부,부사,副詞,,A
211,226,나라,01,명,명사,名詞,,A
212,227,부르다,"01, 02","동, 형","동사, 형용사","動詞, 形容詞","이름을 ~, 배가 ~",A
213,228,의미,02,명,명사,名詞,意味,B
214,229,자리,"01, 02",명,명사,名詞,"~가 없다, ~를 깔다",A
215,230,밝히다,,동,동사,動詞,,B
216,231,죽다,01,"동, 보","동사, 보조 용언","動詞, 補助用言","굶어 ~, 심심해 ~",A
217,232,이미,01,부,부사,副詞,,B
218,233,쪽,"02, 03, 05","명, 의","명사, 의존 명사","名詞, 依存名詞","면, 부분, 방향",A
219,234,정치,03,명,명사,名詞,政治,B
220,235,국민,,명,명사,名詞,國民,B
221,236,생명,,명,명사,名詞,生命,C
222,237,얘기,,명,명사,名詞,이야기,A
223,238,학생,,명,명사,名詞,學生,A
224,239,연구,03,명,명사,名詞,硏究,B
225,240,엄마,,명,명사,名詞,,A
226,241,이름,,명,명사,名詞,,A
227,243,내리다,01,동,동사,動詞,눈이 ~,A
228,244,사건,01,명,명사,名詞,事件,C
229,245,및,,부,부사,副詞,,B
230,246,쉽다,,형,형용사,形容詞,,A
231,247,짓다,01,동,동사,動詞,,B
232,248,또한,,부,부사,副詞,,B
233,249,이유,04,명,명사,名詞,理由,B
234,250,또는,,부,부사,副詞,,B
235,251,필요하다,,형,형용사,形容詞,必要-,A
236,252,글,,명,명사,名詞,,B
237,253,생기다,,동,동사,動詞,,A
238,254,사용하다,03,동,동사,動詞,使用-,A
239,255,남편,01,명,명사,名詞,男便,A
240,256,들어오다,,동,동사,動詞,,A
241,257,밖,,명,명사,名詞,,A
242,258,세상,01,명,명사,名詞,世上,B
243,259,작다,01,형,형용사,形容詞,,A
244,260,타다,"01, 02, 03, 04",동,동사,動詞,"장작이 ~, 버스에 ~, 물에 ~, 월급을 ~",A
245,261,대학,01,명,명사,名詞,大學,A
246,262,작품,01,명,명사,名詞,作品,C
247,263,상황,02,명,명사,名詞,狀況,C
248,264,가운데,,명,명사,名詞,,A
249,265,보내다,,동,동사,動詞,,A
250,266,두다,01,"동, 보","동사, 보조 용언","動詞, 補助用言",,B
251,267,즉,01,부,부사,副詞,卽,B
252,268,따라서,,부,부사,副詞,,C
253,269,상태,01,명,명사,名詞,狀態,C
254,270,이후,02,명,명사,名詞,以後,B
255,271,당시,02,명,명사,名詞,當時,C
256,272,문학,01,명,명사,名詞,文學,B
257,273,더욱,,부,부사,副詞,,C
258,274,아주,01,부,부사,副詞,,A
259,275,지방,"05, 09",명,명사,名詞,"地方, 脂肪",B
260,276,밤,"01, 02",명,명사,名詞,"어두운 때, 열매",A
261,277,높다,,형,형용사,形容詞,,A
262,278,최근,,명,명사,名詞,最近,B
263,279,채,"08, 09, 10","의, 부","의존 명사, 부사","依存名詞, 副詞","집 한 ~, 옷을 입은 ~로, 말이 ~ 끝나기도 전에",C
264,280,현실,02,명,명사,名詞,現實,C
265,281,환경,02,명,명사,名詞,環境,B
266,282,컴퓨터,,명,명사,名詞,computer,A
267,283,먼저,,부,부사,副詞,,A
268,284,다니다,,동,동사,動詞,,A
269,285,얼마나,,부,부사,副詞,,A
270,286,자체,02,명,명사,名詞,自體,B
271,287,열다,02,동,동사,動詞,문을 ~,A
272,288,머리,01,명,명사,名詞,,A
273,289,묻다,"01, 02, 03",동,동사,動詞,"옷에 흙이 ~, 시체를 ~, 길을 ~",A
274,290,남다,01,동,동사,動詞,,B
275,291,부분,01,명,명사,名詞,部分,B
276,292,기업,01,명,명사,名詞,企業,C
277,293,거기,01,대,대명사,代名詞,,A
278,294,변화,,명,명사,名詞,變化,B
279,295,아들,,명,명사,名詞,,A
280,296,뜻,,명,명사,名詞,,B
281,297,아,02,감,감탄사,感嘆詞,,A
282,298,기다리다,,동,동사,動詞,,A
283,299,떨어지다,,동,동사,動詞,,B
284,300,선거,04,명,명사,名詞,選擧,C
285,301,관하다,02,동,동사,動詞,關-,B
286,302,분,"01, 08",의,의존 명사,依存名詞,"한 ~, 10시 20~",A
287,303,그냥,,부,부사,副詞,,B
288,304,나누다,,동,동사,動詞,,B
289,305,이용하다,01,동,동사,動詞,利用-,B
290,306,거의,01,부,부사,副詞,,B
291,307,곧,01,부,부사,副詞,,A
292,308,중심,01,명,명사,名詞,中心,B
293,309,활동,02,명,명사,名詞,活動,B
294,310,오늘,,"명, 부","명사, 부사","名詞, 副詞",,A
295,311,서로,01,"부, 명","부사, 명사","副詞, 名詞",,A
296,312,관심,01,명,명사,名詞,關心,B
297,313,역시,01,부,부사,副詞,亦是,B
298,314,이거,01,대,대명사,代名詞,,A
299,315,애,"01, 02",명,명사,名詞,"~가 타다, 아이",B
300,316,광고,02,명,명사,名詞,廣告,B
301,318,방,07,명,명사,名詞,房,A
302,319,정신,12,명,명사,名詞,精神,B
303,320,이르다,"01, 02, 03","동, 형","동사, 형용사","動詞, 形容詞","도착하다, 말하다, 빠르다",B
304,321,땅,01,명,명사,名詞,,B
305,322,이루다,01,동,동사,動詞,,B
306,323,아침,,명,명사,名詞,,A
307,324,웃다,,동,동사,動詞,,A
308,325,현상,04,명,명사,名詞,現象,C
309,327,떠나다,,동,동사,動詞,,A
310,328,기술,01,명,명사,名詞,技術,B
311,329,전체,01,명,명사,名詞,全體,B
312,330,그래,"01, 03","감, 불","감탄사, 분석 불능","感嘆詞, 分析不能",그리하여,A
313,331,얻다,01,동,동사,動詞,,B
314,332,아름답다,,형,형용사,形容詞,,A
315,333,끝,01,명,명사,名詞,,A
316,334,민족,,명,명사,名詞,民族,B
317,335,간,"01, 08, 10","명, 의","명사, 의존 명사","名詞, 依存名詞","음식의 ~을 보다, 肝, 間. 서울과 부산 ~",B
318,336,조사,30,명,명사,名詞,調査,B
319,337,듯,01,의,의존 명사,依存名詞,,C
320,338,입,,명,명사,名詞,,A
321,340,그대로,,부,부사,副詞,,B
322,341,영화,01,명,명사,名詞,映畵,A
323,342,필요,,명,명사,名詞,必要,A
324,343,줄,"01, 04","명, 의","명사, 의존 명사","名詞, 依存名詞","~로 감다, 방법",B
325,344,하늘,01,명,명사,名詞,,A
326,345,년대,,의,의존 명사,依存名詞,年代,B
327,346,과학,,명,명사,名詞,科學,B
328,347,듯하다,,보,보조 용언,補助用言,,C
329,348,자연,01,명,명사,名詞,自然,B
330,349,정말,01,"부, 명, 감","부사, 명사, 감탄사","副詞, 名詞, 感嘆詞",正-,A
331,350,구조,08,명,명사,名詞,構造,C
332,352,결국,,명,명사,名詞,結局,B
333,353,밥,01,명,명사,名詞,~을 먹다,A
334,354,입다,01,동,동사,動詞,옷을 ~,A
335,355,오히려,,부,부사,副詞,,C
336,356,프로그램,,명,명사,名詞,program,B
337,357,네,"02, 03","관, 감","관형사, 감탄사","冠形詞, 感嘆詞",,A
338,359,이루어지다,,동,동사,動詞,,B
339,360,남,"01, 02, 04",명,명사,名詞,"男, 南",B
340,361,하루,01,명,명사,名詞,,B
341,362,그림,01,명,명사,名詞,,A
342,363,적,"03, 13","의, 명","의존 명사, 명사","依存名詞, 名詞",敵,B
343,364,터,"01, 02","명, 의","명사, 의존 명사","名詞, 依存名詞",,B
344,365,마시다,,동,동사,動詞,,A
345,366,치다,"01, 02, 05, 10",동,동사,動詞,"폭풍우가 ~, 얼굴을 ~, 그물을 ~, 셈을 맞추다",A
346,367,혼자,01,명,명사,名詞,,A
347,371,교수,06,명,명사,名詞,敎授,A
348,372,술,"01, 06","명, 의","명사, 의존 명사","名詞, 依存名詞","~을 먹다, 밥 한 ~",A
349,373,사랑,01,명,명사,名詞,,A
350,374,의식,"03, 04",명,명사,名詞,"意識, 儀式",C
351,375,전화,07,명,명사,名詞,電話,A
352,376,끝나다,,동,동사,動詞,,A
353,377,돌아오다,,동,동사,動詞,,A
354,378,맞다,"01, 02, 03",동,동사,動詞,"답이 ~, 손님을 ~, 매를 ~",B
355,379,아빠,,명,명사,名詞,,A
356,380,걸리다,01,동,동사,動詞,'걸다'의 피동사,B
357,381,지키다,01,동,동사,動詞,,B
358,382,한번,,명,명사,名詞,-番,A
359,383,커피,,명,명사,名詞,coffee,A
360,384,가슴,01,명,명사,名詞,,A
361,386,길다,02,형,형용사,形容詞,밤이 ~,A
362,387,바라보다,,동,동사,動詞,,B
363,388,알아보다,,동,동사,動詞,,C
364,389,회사,04,명,명사,名詞,會社,A
365,390,맛,01,명,명사,名詞,,A
366,391,대부분,,명,명사,名詞,大部分,B
367,392,산업,,명,명사,名詞,産業,C
368,393,매우,01,부,부사,副詞,,A
369,394,오르다,,동,동사,動詞,,A
370,395,음식,,명,명사,名詞,飮食,A
371,396,표정,03,명,명사,名詞,表情,B
372,397,꼭,"02, 03",부,부사,副詞,"힘을 주는 모양, 반드시",A
373,398,일부,02,명,명사,名詞,一部,B
374,399,요즘,,명,명사,名詞,,A
375,400,계획,01,명,명사,名詞,計劃,A
376,401,느낌,,명,명사,名詞,,B
377,402,얼마,,명,명사,名詞,,A
378,403,고개,"01, 02",명,명사,名詞,"~를 돌리다, ~ 너머",B
379,404,성격,02,명,명사,名詞,性格,B
380,405,계속,04,부,부사,副詞,繼續,A
381,406,세기,03,명,명사,名詞,世紀,B
382,407,세우다,01,동,동사,動詞,,B
383,408,아내,01,명,명사,名詞,,A
384,409,가족,01,명,명사,名詞,家族,A
385,411,현재,02,"부, 명","부사, 명사","副詞, 名詞",現在,B
386,413,세,"01, 07, 13","관, 의","관형사, 의존 명사","冠形詞, 依存名詞","~ 권, 世, 歲",A
387,416,발전,"01, 02",명,명사,名詞,"發展, 發電",B
388,417,차,"03, 06, 08, 09","의, 명","의존 명사, 명사","依存名詞, 名詞","次, 車, 差, 茶",A
389,418,놀다,01,동,동사,動詞,,A
390,419,향하다,,동,동사,動詞,向-,B
391,420,관련,,명,명사,名詞,關聯,B
392,421,형태,,명,명사,名詞,形態,C
393,422,각,01,관,관형사,冠形詞,各,B
394,423,도시,03,명,명사,名詞,都市,A
395,424,작업,01,명,명사,名詞,作業,C
396,425,분위기,,명,명사,名詞,雰圍氣,B
397,426,그러하다,,형,형용사,形容詞,,B
398,429,나이,01,명,명사,名詞,,A
399,430,우선,02,부,부사,副詞,于先,B
400,431,믿다,,동,동사,動詞,,B
401,432,바꾸다,,동,동사,動詞,,A
402,433,낳다,01,동,동사,動詞,,B
403,434,바,"03, 04","의, 명","의존 명사, 명사","依存名詞, 名詞",bar,C
404,435,정보,06,명,명사,名詞,情報,B
405,436,열리다,"01, 02",동,동사,動詞,"열매가 ~, 문이 ~",B
406,438,좋아하다,,동,동사,動詞,,A
407,439,그리다,02,동,동사,動詞,그림을 ~,A
408,440,만큼,,의,의존 명사,依存名詞,,B
409,441,배우다,01,동,동사,動詞,,A
410,443,역할,,명,명사,名詞,役割,B
411,444,옆,,명,명사,名詞,,A
412,445,행동,,명,명사,名詞,行動,B
413,446,어,02,감,감탄사,感嘆詞,,A
414,447,국내,02,명,명사,名詞,國內,B
415,448,비하다,,동,동사,動詞,比-,C
416,449,기관,11,명,명사,名詞,機關,C
417,450,입장,04,명,명사,名詞,立場,C
418,451,만하다,,보,보조 용언,補助用言,,C
419,452,예,"01, 06, 08","명, 감","명사, 감탄사","名詞, 感嘆詞","~나 지금이나, 例",A
420,453,아래,01,명,명사,名詞,,A
421,454,방식,01,명,명사,名詞,方式,C
422,455,영향,04,명,명사,名詞,影響,C
423,457,그럼,"01, 02","부, 감","부사, 감탄사","副詞, 感嘆詞",'그러면'의 준말,A
424,458,나서다,,동,동사,動詞,,B
425,459,흐르다,01,동,동사,動詞,,B
426,461,깊다,,형,형용사,形容詞,,B
427,462,배,"01, 02, 03, 09",명,명사,名詞,"신체의 일부, ~를 띄우다, 열매, 倍",A
428,463,내,09,의,의존 명사,依存名詞,內,C
429,464,모양,02,"명, 의","명사, 의존 명사","名詞, 依存名詞",模樣,B
430,465,산,01,명,명사,名詞,山,A
431,466,새,"01, 03, 06","명, 관","명사, 관형사","名詞, 冠形詞","사이, 날짐승",A
432,467,하지만,,부,부사,副詞,,A
433,468,조건,02,명,명사,名詞,條件,B
434,469,문,05,명,명사,名詞,門,A
435,470,꽃,01,명,명사,名詞,,A
436,471,단계,03,명,명사,名詞,段階,C
437,472,올리다,01,동,동사,動詞,,C
438,473,그동안,,명,명사,名詞,,A
439,474,교사,09,명,명사,名詞,敎師,C
440,475,갑자기,,부,부사,副詞,,A
441,476,넘다,01,동,동사,動詞,,B
442,477,지니다,,동,동사,動詞,,C
443,478,바람,"01, 02","명, 의","명사, 의존 명사","名詞, 依存名詞","~이 불다, 눈이 오는 ~에, 소원",A
444,479,잘하다,,동,동사,動詞,,A
445,480,마을,01,명,명사,名詞,,B
446,481,어리다,"01, 03","동, 형","동사, 형용사","動詞, 形容詞","눈물이 ~, 나이가 적다",B
447,482,대표,,명,명사,名詞,代表,B
448,483,가능성,,명,명사,名詞,可能性,B
449,484,방향,01,명,명사,名詞,方向,B
450,485,대회,02,명,명사,名詞,大會,B
451,486,목소리,,명,명사,名詞,,B
452,487,노래,01,명,명사,名詞,,A
453,488,바다,,명,명사,名詞,,A
454,489,힘들다,,형,형용사,形容詞,,A
455,490,공부,01,명,명사,名詞,工夫,A
456,491,움직이다,,동,동사,動詞,,B
457,492,의원,05,명,명사,名詞,議員,C
458,494,노력,01,명,명사,名詞,努力,B
459,496,전혀,01,부,부사,副詞,全-,B
460,497,언니,,명,명사,名詞,,A
461,498,단체,02,명,명사,名詞,團體,B
462,500,알려지다,,동,동사,動詞,,B
463,501,가능하다,,형,형용사,形容詞,可能-,B
464,502,능력,02,명,명사,名詞,能力,B
465,503,주장하다,01,동,동사,動詞,主張-,B
466,504,자식,01,명,명사,名詞,子息,B
467,505,돌리다,04,동,동사,動詞,팽이를 ~,B
468,506,불,01,명,명사,名詞,,A
469,507,주민,,명,명사,名詞,住民,C
470,508,모으다,,동,동사,動詞,,B
471,509,자료,03,명,명사,名詞,資料,B
472,510,존재,,명,명사,名詞,存在,C
473,512,학년,,명,명사,名詞,學年,A
474,513,신문,10,명,명사,名詞,新聞,A
475,515,이해하다,02,동,동사,動詞,理解-,A
476,516,제품,02,명,명사,名詞,製品,B
477,517,분야,,명,명사,名詞,分野,C
478,518,선생,01,명,명사,名詞,先生,A
479,519,돌아가다,,동,동사,動詞,,A
480,520,사업,04,명,명사,名詞,事業,B
481,521,행위,,명,명사,名詞,行爲,C
482,522,수준,,명,명사,名詞,水準,C
483,523,지난해,,명,명사,名詞,,B
484,524,표현,,명,명사,名詞,表現,B
485,525,기분,01,명,명사,名詞,氣分,A
486,527,대,"01, 06, 11, 15","의, 명","의존 명사, 명사","依存名詞, 名詞","담배 한 ~, 줄기, 代, 對. 개인 ~ 개인, 臺",B
487,528,젊다,,형,형용사,形容詞,,B
488,529,동시,02,명,명사,名詞,同時,B
489,530,옷,01,명,명사,名詞,,A
490,531,기능,"01, 03",명,명사,名詞,"技能, 機能",C
491,532,순간,03,명,명사,名詞,瞬間,B
492,533,전쟁,,명,명사,名詞,戰爭,B
493,535,꿈,01,명,명사,名詞,,A
494,536,할머니,,명,명사,名詞,,A
495,537,회의,"04, 05",명,명사,名詞,"會議, 懷疑",A
496,538,방송,01,명,명사,名詞,放送,B
497,539,이야기하다,,동,동사,動詞,,A
498,540,나무,01,명,명사,名詞,,A
